x,nn
-5.000000000000000000e+00,3.595653991699218750e+02
-4.898989898989898784e+00,3.493491821289062500e+02
-4.797979797979797567e+00,3.183143005371093750e+02
-4.696969696969697239e+00,2.892477416992187500e+02
-4.595959595959596022e+00,2.652857055664062500e+02
-4.494949494949494806e+00,2.446165008544921875e+02
-4.393939393939393590e+00,2.256055755615234375e+02
-4.292929292929293261e+00,2.071463165283203125e+02
-4.191919191919192045e+00,1.887915802001953125e+02
-4.090909090909090828e+00,1.709271087646484375e+02
-3.989898989898989612e+00,1.543417663574218750e+02
-3.888888888888888840e+00,1.394964904785156250e+02
-3.787878787878788067e+00,1.264048156738281250e+02
-3.686868686868686851e+00,1.148922500610351562e+02
-3.585858585858585634e+00,1.047626037597656250e+02
-3.484848484848484862e+00,9.583014678955078125e+01
-3.383838383838384090e+00,8.792124176025390625e+01
-3.282828282828282873e+00,8.087645721435546875e+01
-3.181818181818181657e+00,7.455287933349609375e+01
-3.080808080808080884e+00,6.883058166503906250e+01
-2.979797979797979668e+00,6.361432647705078125e+01
-2.878787878787878896e+00,5.882876205444335938e+01
-2.777777777777777679e+00,5.441757202148437500e+01
-2.676767676767676907e+00,5.034132385253906250e+01
-2.575757575757575690e+00,4.656825637817382812e+01
-2.474747474747474918e+00,4.307525634765625000e+01
-2.373737373737373701e+00,3.984254455566406250e+01
-2.272727272727272929e+00,3.685238265991210938e+01
-2.171717171717171713e+00,3.408935546875000000e+01
-2.070707070707070940e+00,3.153824234008789062e+01
-1.969696969696969724e+00,2.918144226074218750e+01
-1.868686868686868952e+00,2.700433540344238281e+01
-1.767676767676767735e+00,2.498980903625488281e+01
-1.666666666666666519e+00,2.312129783630371094e+01
-1.565656565656565746e+00,2.137888145446777344e+01
-1.464646464646464530e+00,1.974718284606933594e+01
-1.363636363636363757e+00,1.820465469360351562e+01
-1.262626262626262541e+00,1.673350715637207031e+01
-1.161616161616161769e+00,1.531302547454833984e+01
-1.060606060606060552e+00,1.392256450653076172e+01
-9.595959595959593358e-01,1.254354476928710938e+01
-8.585858585858590075e-01,1.115435981750488281e+01
-7.575757575757577911e-01,9.737090110778808594e+00
-6.565656565656565746e-01,8.274101257324218750e+00
-5.555555555555553582e-01,6.749841213226318359e+00
-4.545454545454550299e-01,5.153747081756591797e+00
-3.535353535353538135e-01,3.477563858032226562e+00
-2.525252525252525970e-01,1.720989942550659180e+00
-1.515151515151513806e-01,-1.113649606704711914e-01
-5.050505050505016413e-02,-2.006058692932128906e+00
5.050505050505016413e-02,-3.941881179809570312e+00
1.515151515151513806e-01,-5.889180183410644531e+00
2.525252525252525970e-01,-7.810652256011962891e+00
3.535353535353538135e-01,-9.663772583007812500e+00
4.545454545454541417e-01,-1.139872550964355469e+01
5.555555555555553582e-01,-1.296557140350341797e+01
6.565656565656565746e-01,-1.431431674957275391e+01
7.575757575757577911e-01,-1.539581966400146484e+01
8.585858585858581193e-01,-1.616704940795898438e+01
9.595959595959593358e-01,-1.658937454223632812e+01
1.060606060606060552e+00,-1.663215637207031250e+01
1.161616161616161769e+00,-1.627122116088867188e+01
1.262626262626262097e+00,-1.548694896697998047e+01
1.363636363636363313e+00,-1.426754760742187500e+01
1.464646464646464530e+00,-1.260277557373046875e+01
1.565656565656565746e+00,-1.048461437225341797e+01
1.666666666666666963e+00,-7.904291629791259766e+00
1.767676767676767291e+00,-4.849523067474365234e+00
1.868686868686868507e+00,-1.303293347358703613e+00
1.969696969696969724e+00,2.761120796203613281e+00
2.070707070707070940e+00,7.382271766662597656e+00
2.171717171717171269e+00,1.261264610290527344e+01
2.272727272727272485e+00,1.852421188354492188e+01
2.373737373737373701e+00,2.520758438110351562e+01
2.474747474747474918e+00,3.277077484130859375e+01
2.575757575757575246e+00,4.134318923950195312e+01
2.676767676767676463e+00,5.106586837768554688e+01
2.777777777777777679e+00,6.209011840820312500e+01
2.878787878787878896e+00,7.456925964355468750e+01
2.979797979797979224e+00,8.865306854248046875e+01
3.080808080808081328e+00,1.044653625488281250e+02
3.181818181818181657e+00,1.221078720092773438e+02
3.282828282828281985e+00,1.416710510253906250e+02
3.383838383838384090e+00,1.633154754638671875e+02
3.484848484848484418e+00,1.873523254394531250e+02
3.585858585858586522e+00,2.141371765136718750e+02
3.686868686868686851e+00,2.437080993652343750e+02
3.787878787878787179e+00,2.759932556152343750e+02
3.888888888888889284e+00,3.116037597656250000e+02
3.989898989898989612e+00,3.520523681640625000e+02
4.090909090909089940e+00,4.009753723144531250e+02
4.191919191919192045e+00,4.347327575683593750e+02
4.292929292929292373e+00,4.631580505371093750e+02
4.393939393939394478e+00,5.519183959960937500e+02
4.494949494949494806e+00,5.679057617187500000e+02
4.595959595959595134e+00,6.122483520507812500e+02
4.696969696969697239e+00,6.614083862304687500e+02
4.797979797979797567e+00,7.098270263671875000e+02
4.898989898989899672e+00,7.605507202148437500e+02
5.000000000000000000e+00,9.344075317382812500e+02
