runtime,l1_error,l2_error,rel_error
2.241649699211120605e+01,1.397065512342813860e-03,5.071087007180954631e-06,3.031286519243282795e-02
2.280488538742065430e+01,1.422630632192879892e-03,3.640595008436772565e-06,7.746149213255056065e-02
2.276672434806823730e+01,1.228836244259005677e-03,3.405307242894158094e-06,2.826140342268096753e-02
2.222043442726135254e+01,1.348870370776658568e-03,4.641600300724820051e-06,7.947682272761895719e-03
2.242927360534667969e+01,1.220480838718993044e-03,3.688557882115962658e-06,2.637829382147512114e-02
2.258378648757934570e+01,1.453703657663366023e-03,4.424533244073077393e-06,2.302567142795465885e-02
2.266976141929626465e+01,1.176111820506969309e-03,2.911935226826746198e-06,6.271703103192068085e-02
2.178261280059814453e+01,1.231698325286809028e-03,3.251170608992107242e-06,6.072276384074462574e-02
2.146379351615905762e+01,1.461193466055861825e-03,5.112955282809819611e-06,6.625164932296409570e-02
2.277189302444458008e+01,1.227731565815177181e-03,4.267330185863418283e-06,1.592291070465879158e-02
