runtime,l1_error,l2_error,rel_error
9.954988002777099609e+01,7.332202999857704739e+00,1.388170319555272840e+02,1.625963576715746262e-01
3.229752798080444336e+02,9.995327013217117695e+00,3.017560618004837920e+02,1.162686442680125887e-01
8.332991862297058105e+01,1.084113593895632910e+01,4.605001696734335610e+02,1.597618259604814961e-01
3.615876424312591553e+02,9.815738993265794576e+00,3.259491566517893943e+02,1.772447981148097540e-01
1.950084145069122314e+02,9.111250749653763137e+00,2.260190114333181839e+02,1.529275507552852464e-01
2.737530744075775146e+02,1.140750448054003030e+01,3.134340560601943366e+02,2.532332442935943950e-01
3.124828774929046631e+02,1.049197063647042150e+01,7.724541187686431840e+02,2.088628691728008913e-01
4.772967312335968018e+02,9.729598632498490218e+00,2.818509211826046226e+02,2.292009124592315206e-01
3.311110987663269043e+02,1.132231143968941822e+01,3.130907506508524420e+02,2.426290983071753560e-01
1.307337183952331543e+02,1.088549615685456651e+01,3.544940250596303031e+02,1.036140612764827329e-01
