runtime,l1_error,l2_error,rel_error
9.488864493370056152e+01,7.332202999857704739e+00,1.388170319555272840e+02,1.625963576715746262e-01
3.306102185249328613e+02,9.995327013217117695e+00,3.017560618004837920e+02,1.162686442680125887e-01
8.485818219184875488e+01,1.084113593895632910e+01,4.605001696734335610e+02,1.597618259604814961e-01
3.685405545234680176e+02,9.815738993265794576e+00,3.259491566517893943e+02,1.772447981148097540e-01
2.007544560432434082e+02,9.111250749653763137e+00,2.260190114333181839e+02,1.529275507552852464e-01
2.804092779159545898e+02,1.211436655116087024e+02,2.014515427002126817e+05,2.348875074526806550e+00
3.222087790966033936e+02,1.049197063647042150e+01,7.724541187686431840e+02,2.088628691728008913e-01
4.924549856185913086e+02,9.729598632498490218e+00,2.818509211826046226e+02,2.292009124592315206e-01
3.424628233909606934e+02,1.132231143968941822e+01,3.130907506508524420e+02,2.426290983071753560e-01
1.353252701759338379e+02,1.088549615685456651e+01,3.544940250596303031e+02,1.036140612764827329e-01
