runtime,l1_error,l2_error,rel_error
3.804808688163757324e+01,9.380537084430495137e-03,2.657160695502555170e-04,7.145954824835557551e-01
3.356117653846740723e+01,1.104049392751647700e-02,3.448198220677349090e-04,6.631604406775547522e-01
3.770563578605651855e+01,1.344430161274998668e-02,5.133444030779772422e-04,1.093001832243352345e+00
3.745156788825988770e+01,1.242237944508213510e-02,5.158008870419097209e-04,1.148137346886022536e+00
3.540143370628356934e+01,1.093587183452863695e-02,3.926727353569661803e-04,1.149203308618964359e+00
3.890512180328369141e+01,1.379557785181204609e-02,6.953621172130101729e-04,9.721550859738278261e-01
3.696573257446289062e+01,1.309069320118857668e-02,6.433584487266962243e-04,1.545362287878808472e+00
3.488439512252807617e+01,1.172211028037393847e-02,4.928892562363226771e-04,9.322218500900902871e-01
3.534261345863342285e+01,1.028742136758231500e-02,3.415848310537881517e-04,9.831166429066413581e-01
3.815521335601806641e+01,1.111127433682272507e-02,3.625744127351558416e-04,1.098378193045885354e+00
