runtime,l1_error,l2_error,rel_error
1.478091132640838623e+02,3.089829676888606810e-02,2.770702679578742559e-03,1.030530527088413084e+00
1.614042866230010986e+02,2.974211954622758489e-02,3.275908819435460143e-03,5.128489373531712303e+00
1.588852510452270508e+02,2.634667886341765172e-02,1.893582405277624819e-03,4.612489618699169291e-01
1.544413182735443115e+02,2.546734595697086601e-02,3.336239558145814681e-03,2.631704602474399746e+00
1.605792324542999268e+02,2.421268429156544361e-02,2.123342813404262633e-03,8.821145333486281048e-01
1.334564843177795410e+02,2.338069263070546508e-02,1.318395010210779688e-03,6.845561334498276862e-01
1.569723474979400635e+02,2.809917831084678824e-02,4.789373364463087729e-03,7.355481955144864692e-01
1.468520088195800781e+02,2.398351502305531846e-02,3.463479308963290926e-03,3.211538683033265951e-01
1.531085534095764160e+02,3.386802851024158650e-02,2.945868331541096150e-03,6.603644416212897106e-01
1.592792589664459229e+02,1.668322108986145663e-02,9.503659796447195109e-04,2.174494846959756367e-01
