runtime,l1_error,l2_error,rel_error
8.034500575065612793e+01,4.287851374804475292e-03,2.927552375445134563e-05,2.130135179651889560e-02
7.771636652946472168e+01,5.292462656298440454e-03,3.982236152976926916e-05,1.698705983719270632e-02
7.804924464225769043e+01,6.010446556120079692e-03,6.206906701258703982e-05,2.884253782311862677e-02
7.736131477355957031e+01,7.003652962328298613e-03,7.917804452845181458e-05,2.597654846136988882e-02
7.616313385963439941e+01,7.287467044558597860e-03,7.156696826218584206e-05,4.143901395801503906e-02
8.294057083129882812e+01,4.808001934891458634e-03,3.949908600789478518e-05,1.730990237589148315e-02
8.330959939956665039e+01,4.543834199625262568e-03,3.926655964100151606e-05,1.265348318678774855e-02
7.125287008285522461e+01,6.882255147918412211e-03,7.375970982581530981e-05,2.167670830313299726e-02
7.481544113159179688e+01,7.809640180441129557e-03,8.476540822647331513e-05,3.497485555738338164e-02
7.412919664382934570e+01,4.311721331162995594e-03,3.267140502178540344e-05,1.678737013045801876e-02
