runtime,l1_error,l2_error,rel_error
5.532535386085510254e+01,9.335367876190296330e-03,1.700856102457121936e-04,3.639981484640890928e-04
5.561519813537597656e+01,9.081481807534111383e-03,1.552201023746168891e-04,3.457984967996827978e-04
5.591038107872009277e+01,7.527620689788996379e-03,1.055578321343138672e-04,2.934289310076103438e-04
5.185689282417297363e+01,8.316989440735902961e-03,1.233565970219477510e-04,3.190318561549503767e-04
5.487847185134887695e+01,8.782562219805107109e-03,1.366059359297873497e-04,3.410382699725494665e-04
5.116877007484436035e+01,7.034552073288331472e-03,9.372276525339784880e-05,2.774147242050954395e-04
5.542553186416625977e+01,8.210596282922288588e-03,1.124373135640227231e-04,3.150705312196505473e-04
5.274583697319030762e+01,9.592896281852851884e-03,1.684852320104952719e-04,3.807685845094247725e-04
5.037899208068847656e+01,8.427364595889521443e-03,1.133214630204554946e-04,3.271692247265101171e-04
5.562348890304565430e+01,8.619346423181149797e-03,1.254265060267474835e-04,3.404472717193465824e-04
