runtime,l1_error,l2_error,rel_error
4.743772411346435547e+01,9.335367876190296330e-03,1.700856102457121936e-04,3.639981484640890928e-04
4.799266934394836426e+01,9.081481807534111383e-03,1.552201023746168891e-04,3.457984967996827978e-04
4.839707684516906738e+01,7.527620689788996379e-03,1.055578321343138672e-04,2.934289310076103438e-04
4.478974628448486328e+01,8.316989440735902961e-03,1.233565970219477510e-04,3.190318561549503767e-04
4.743209648132324219e+01,8.782562219805107109e-03,1.366059359297873497e-04,3.410382699725494665e-04
4.402876853942871094e+01,7.034552073288331472e-03,9.372276525339784880e-05,2.774147242050954395e-04
4.796250224113464355e+01,8.210596282922288588e-03,1.124373135640227231e-04,3.150705312196505473e-04
4.563714623451232910e+01,9.592896281852851884e-03,1.684852320104952719e-04,3.807685845094247725e-04
4.322072553634643555e+01,8.427364595889521443e-03,1.133214630204554946e-04,3.271692247265101171e-04
4.833435368537902832e+01,8.619346423181149797e-03,1.254265060267474835e-04,3.404472717193465824e-04
