runtime,l1_error,l2_error,rel_error
1.699911680221557617e+02,4.862669322410828089e-03,3.466404959594293156e-05,1.594003508229996716e-02
1.700173959732055664e+02,4.712818238574517475e-03,3.913254619421274651e-05,1.732671181655300735e-02
1.700727028846740723e+02,5.508200887449197017e-03,5.047814119652456531e-05,2.228851715955205981e-02
1.701246788501739502e+02,4.164428674536715079e-03,2.360912608703691636e-05,1.215135782607349585e-02
1.701200401782989502e+02,5.227142546470566441e-03,4.577613543580482048e-05,1.791525588316983039e-02
1.699868173599243164e+02,4.848066093759954495e-03,3.533054266540141403e-05,1.652945202635592095e-02
1.699528388977050781e+02,4.529971986015800950e-03,3.395321530018477647e-05,1.756777107647431585e-02
1.699692330360412598e+02,4.038911891459394214e-03,2.391935245801259387e-05,1.499921234766887247e-02
1.697924797534942627e+02,4.454663791441206173e-03,2.840115693292958067e-05,1.435422792968636327e-02
1.700257518291473389e+02,4.718677990391120791e-03,3.529819616078065935e-05,1.629784138166497781e-02
