runtime,l1_error,l2_error,rel_error
1.176101913452148438e+02,3.569084423864733822e-03,1.732199928294906745e-05,1.148695699093222472e-02
1.176376106739044189e+02,3.833455836476564165e-03,2.041757263217254295e-05,1.746860786405219843e-02
1.176967511177062988e+02,4.385059405111379517e-03,2.711912293593114499e-05,1.861078480542189412e-02
1.176765930652618408e+02,3.339862930067595721e-03,1.521535151938916595e-05,1.314987059700573925e-02
1.177414281368255615e+02,3.400966193727787343e-03,1.734099828405226171e-05,1.409045151830643633e-02
1.175986340045928955e+02,2.994659913583230110e-03,1.336013058993539637e-05,9.655556222917853482e-03
1.176481130123138428e+02,4.199635464753367041e-03,2.969361946405481157e-05,1.677945419740136529e-02
1.176945948600769043e+02,4.243727298708121695e-03,2.352441668008369022e-05,1.669246504575897308e-02
1.177331731319427490e+02,2.889318709504169053e-03,1.380439522888736820e-05,7.899790808841277226e-03
1.177010853290557861e+02,3.529409836451424462e-03,1.919487406335525944e-05,1.523006540686739838e-02
