runtime,l1_error,l2_error,rel_error
1.010402581691741943e+02,1.359820229087845000e-02,4.012346827913022178e-04,1.545258242342765431e+00
1.017824892997741699e+02,1.103240091435001534e-02,2.439317775388522794e-04,1.061484257447534052e+00
1.011017940044403076e+02,1.266702461133219562e-02,2.686349941838015983e-04,6.131856711691155981e-01
1.011611638069152832e+02,1.081456298032130309e-02,2.183455946761912085e-04,8.806073234971678598e-01
1.010450656414031982e+02,1.576794596528832346e-02,4.017526705587167466e-04,9.090339285718972429e-01
1.008754725456237793e+02,1.485273968851139569e-02,4.757013526560896380e-04,1.507156932349729361e+00
1.013217926025390625e+02,1.736347415426397686e-02,5.135543991491255860e-04,1.182966841396928537e+00
1.011758875846862793e+02,1.261254385468021239e-02,3.678846099822485937e-04,1.283148349758227669e+00
1.011279962062835693e+02,1.250995408237197057e-02,2.302570839175878457e-04,7.503413959328362193e-01
1.010120866298675537e+02,1.730542314477734669e-02,4.377238574779069268e-04,1.205334926251580674e+00
