runtime,l1_error,l2_error,rel_error
1.864194319248199463e+02,1.633164787685517538e+00,2.839232151371800850e+00,6.269684299067497524e-02
1.842537133693695068e+02,1.347897529995087718e+00,1.828337592682004464e+00,5.291514767671125913e-02
1.840467321872711182e+02,1.703046265041474605e+00,2.942424450114817347e+00,6.626773026934493216e-02
1.838761620521545410e+02,1.573096256649140434e+00,2.540383024286380298e+00,6.097596618075318969e-02
1.834638991355895996e+02,1.657597122585419802e+00,2.760558963935234367e+00,6.482742696143155292e-02
1.829807770252227783e+02,1.757039852535370983e+00,3.124199833386597902e+00,6.858569084608003019e-02
1.826820714473724365e+02,1.591441460048798717e+00,2.581694558129433492e+00,6.182601783325055583e-02
1.829639878273010254e+02,1.559356861507539049e+00,2.452529174213404772e+00,6.091681376633026335e-02
1.829938073158264160e+02,1.573872490322236306e+00,2.490293122588913111e+00,6.212051548415999797e-02
1.830976059436798096e+02,1.665800991451386714e+00,2.808872232598039531e+00,6.510979166415045705e-02
