runtime,l1_error,l2_error,rel_error
3.447949790954589844e+01,1.041036881025477140e-03,2.201418126078691167e-06,2.482043069206080199e-01
3.438184118270874023e+01,9.527779742062020664e-04,1.416764773323377001e-06,8.782306374330364762e-02
3.434565234184265137e+01,7.423536210362264177e-04,9.590004469808325756e-07,1.018350988621328640e-01
3.446387171745300293e+01,6.225616125008798674e-04,5.859933665573444525e-07,6.923242610928101448e-02
3.440659570693969727e+01,9.550360198209056949e-04,1.627400702300039696e-06,1.223435487421877382e-01
3.441804862022399902e+01,6.270748584508217469e-04,5.027887990613339753e-07,8.438809174037339988e-02
3.439753794670104980e+01,6.831204291527543868e-03,5.355443564582947194e-05,6.339742329129177678e-01
3.440533256530761719e+01,4.710258278361939338e-04,3.271215753519243782e-07,3.836554691348684210e-02
3.439258360862731934e+01,1.276205814934137624e-03,2.267835400213883654e-06,1.078553928138304141e-01
3.441062927246093750e+01,4.724149426762241834e-04,4.169464387154651004e-07,8.171398055334404276e-02
