runtime,l1_error,l2_error,rel_error
1.459738428592681885e+02,2.898461684930566662e+01,1.593949998411779006e+03,1.222476696050202927e+00
1.460395514965057373e+02,1.550175123937723320e+01,6.208861928608575909e+02,3.660675634834312797e-01
1.460155904293060303e+02,1.303364354860148744e+01,4.501788446162260584e+02,6.624853102751022682e-01
1.460455827713012695e+02,2.413634012216781244e+01,7.129916620102777642e+02,1.512936448494246910e+00
1.459927163124084473e+02,1.484926769496730437e+01,5.081189702508879691e+02,6.721412541814436592e-01
1.459761464595794678e+02,1.084598388149973829e+02,1.555980109506402187e+04,1.126929442887772481e+01
1.461051874160766602e+02,3.416308547968124287e+01,1.973424215053115631e+03,1.252631456368333618e+00
1.460436446666717529e+02,1.611855034958628607e+01,6.956693253436928899e+02,6.184783252696179900e-01
1.459270100593566895e+02,1.639267474923179080e+01,6.290167469894353189e+02,7.075946858995265654e-01
1.460550096035003662e+02,9.787388211248210013e+00,3.163417319686059841e+02,2.988396237429458147e-01
