runtime,l1_error,l2_error,rel_error
6.694056351184844971e+02,2.587771473141982028e+02,7.878320017562767316e+04,3.096176226863185832e+01
6.695644166469573975e+02,2.568819138547255534e+02,7.773321298302494688e+04,3.076614382163273120e+01
6.695891613960266113e+02,2.556576920529677182e+02,7.700998137239497737e+04,3.052180159894286504e+01
6.696733772754669189e+02,2.568500260373427295e+02,7.773872904281073716e+04,3.071122545648959345e+01
6.695060894489288330e+02,2.566471479245497562e+02,7.762971805383359606e+04,3.068611576479688097e+01
6.696559176445007324e+02,2.574691559811903971e+02,7.803608099233597750e+04,3.083747351949760329e+01
6.696886527538299561e+02,2.569449732419325869e+02,7.775172788543654315e+04,3.074065631295574974e+01
6.697892320156097412e+02,2.540538856055179622e+02,7.617619175164989429e+04,3.031876630628623914e+01
6.697537374496459961e+02,2.560619541379286375e+02,7.722955741264745302e+04,3.057584688486440072e+01
6.695598173141479492e+02,2.558996494504286545e+02,7.717966174029529793e+04,3.056689368596371281e+01
