runtime,l1_error,l2_error,rel_error
6.153549098968505859e+01,1.217248981757226324e-02,2.185836512886831721e-04,6.643788452211051299e-01
6.148905372619628906e+01,1.085319875274058654e-02,2.285048804780825938e-04,9.525862230699019273e-01
6.134631443023681641e+01,3.200079343535393306e-02,1.386650496180003673e-03,1.783800827485836793e+00
6.125681257247924805e+01,1.255790692676619393e-02,2.232319788360618781e-04,7.314068095829766580e-01
6.118726754188537598e+01,2.771419481870959420e-02,1.360022103231024434e-03,2.131274024114141685e+00
6.101862430572509766e+01,5.512279813574530798e-03,6.342428464692038156e-05,5.342507839618909626e-01
6.131711387634277344e+01,3.490861311471209205e-02,1.857999461398996636e-03,2.318738700825619947e+00
6.090999770164489746e+01,2.670026793946211896e-02,1.158278682390934990e-03,1.753948032826297299e+00
6.096775174140930176e+01,9.435840532160507527e-03,1.466819483632055259e-04,6.467686119512027210e-01
6.102680230140686035e+01,8.137582792828811085e-02,1.058954601716931287e-02,5.448326524268819249e+00
