runtime,l1_error,l2_error,rel_error
8.312636351585388184e+01,1.267143610852143332e-01,2.115102740146080143e-02,4.564607161396109780e-01
8.307012677192687988e+01,6.011738849754465902e-02,4.720129414949575559e-03,2.528254275031739384e-01
8.311534738540649414e+01,1.376159000574762592e-01,2.493579794516003964e-02,4.253484831923277087e-01
8.305271673202514648e+01,8.278069466136689369e-02,9.461492163184908460e-03,3.189717300068265482e-01
8.312056612968444824e+01,5.672263018122526007e-02,4.632396047297177022e-03,2.191989725549189916e-01
8.314996719360351562e+01,7.218294673832850727e-02,7.184080044038598963e-03,2.871594593573156828e-01
8.312074208259582520e+01,6.031945698745822676e-02,5.384335166591203148e-03,2.502024222957889843e-01
8.309675884246826172e+01,4.020259146814571249e-02,2.778881944242269850e-03,1.247355118333853818e-01
8.309955787658691406e+01,7.374290559381474486e-02,7.192960584447254460e-03,2.833082717200250955e-01
8.310508227348327637e+01,3.920343995361606076e-02,2.571815406727367796e-03,1.023076542937143840e-01
