x,y
1.448207702636718750e+02,2.536989593505859375e+01
1.322966918945312500e+02,2.422651863098144531e+01
1.702920532226562500e+02,2.752234458923339844e+01
1.397831268310546875e+02,2.483352470397949219e+01
2.086456604003906250e+02,3.045921516418457031e+01
1.818482666015625000e+02,2.836888122558593750e+01
1.385875244140625000e+02,2.475186157226562500e+01
1.398588409423828125e+02,2.487614440917968750e+01
2.039505920410156250e+02,3.007920646667480469e+01
1.480935516357421875e+02,2.561050224304199219e+01
1.015267639160156250e+02,2.120609283447265625e+01
1.933493652343750000e+02,2.925230026245117188e+01
1.082309570312500000e+02,2.188497543334960938e+01
1.402739410400390625e+02,2.490992355346679688e+01
1.106716690063476562e+02,2.213226509094238281e+01
1.781084289550781250e+02,2.811648368835449219e+01
1.391885223388671875e+02,2.473858833312988281e+01
1.064634094238281250e+02,2.166328811645507812e+01
1.660615539550781250e+02,2.714529418945312500e+01
1.212840652465820312e+02,2.312737846374511719e+01
1.914999389648437500e+02,2.903118705749511719e+01
1.612825927734375000e+02,2.671486282348632812e+01
1.781533508300781250e+02,2.805827140808105469e+01
1.035345306396484375e+02,2.141034126281738281e+01
1.477223815917968750e+02,2.558393478393554688e+01
1.719334411621093750e+02,2.750201797485351562e+01
1.564354095458984375e+02,2.627049064636230469e+01
1.585024108886718750e+02,2.644801330566406250e+01
1.399226989746093750e+02,2.480260276794433594e+01
1.574291687011718750e+02,2.642387771606445312e+01
1.757537231445312500e+02,2.791858100891113281e+01
1.716586914062500000e+02,2.757946205139160156e+01
1.244807739257812500e+02,2.353418350219726562e+01
1.073116607666015625e+02,2.176668167114257812e+01
1.111442413330078125e+02,2.217057037353515625e+01
1.476065063476562500e+02,2.558957099914550781e+01
1.104493255615234375e+02,2.213836479187011719e+01
2.050122375488281250e+02,3.013601303100585938e+01
1.582444915771484375e+02,2.646726608276367188e+01
1.922463531494140625e+02,2.919630622863769531e+01
1.610858154296875000e+02,2.668440628051757812e+01
1.615487976074218750e+02,2.671441650390625000e+01
1.149879074096679688e+02,2.261042594909667969e+01
1.583771057128906250e+02,2.650115013122558594e+01
1.995742950439453125e+02,2.974331283569335938e+01
1.389039306640625000e+02,2.479751014709472656e+01
9.031065368652343750e+01,1.997460365295410156e+01
1.063756256103515625e+02,2.172325706481933594e+01
1.048391036987304688e+02,2.153501129150390625e+01
1.300928497314453125e+02,2.404075241088867188e+01
1.880500183105468750e+02,2.892298126220703125e+01
