x, true, terminal, branch, dgm, bsde
-8.000000000000000000e+00,-9.869741597708527880e-01,-9.728197647383156621e-01,-9.829932451248168945e-01,-9.877630472183227539e-01,-9.849780797958374023e-01
-7.838383838383838231e+00,-9.860114912407043075e-01,-9.708419264208434374e-01,-9.819042086601257324e-01,-9.867989420890808105e-01,-9.839626550674438477e-01
-7.676767676767676463e+00,-9.849787599493532442e-01,-9.687247926782828200e-01,-9.807577133178710938e-01,-9.857648611068725586e-01,-9.829441308975219727e-01
-7.515151515151515582e+00,-9.838710322590609181e-01,-9.664592471475667024e-01,-9.795469045639038086e-01,-9.846564531326293945e-01,-9.819139242172241211e-01
-7.353535353535353813e+00,-9.826830523636364001e-01,-9.640356805057263001e-01,-9.782657623291015625e-01,-9.834690093994140625e-01,-9.808524250984191895e-01
-7.191919191919192045e+00,-9.814092251251486099e-01,-9.614439795851921211e-01,-9.769065976142883301e-01,-9.821975827217102051e-01,-9.797320365905761719e-01
-7.030303030303030276e+00,-9.800435986125473065e-01,-9.586735189464976603e-01,-9.754627346992492676e-01,-9.808367490768432617e-01,-9.785195589065551758e-01
-6.868686868686868507e+00,-9.785798464512818207e-01,-9.557131554362769954e-01,-9.739265441894531250e-01,-9.793813824653625488e-01,-9.771792292594909668e-01
-6.707070707070706739e+00,-9.770112501166754448e-01,-9.525512263185327289e-01,-9.722906947135925293e-01,-9.778252840042114258e-01,-9.756768941879272461e-01
-6.545454545454544970e+00,-9.753306813306101830e-01,-9.491755516289956951e-01,-9.705473780632019043e-01,-9.761623144149780273e-01,-9.739826321601867676e-01
-6.383838383838384090e+00,-9.735305847512398802e-01,-9.455734414648827579e-01,-9.686892628669738770e-01,-9.743858575820922852e-01,-9.720734357833862305e-01
-6.222222222222222321e+00,-9.716029611791792142e-01,-9.417317089839404298e-01,-9.667083024978637695e-01,-9.724891781806945801e-01,-9.699348211288452148e-01
-6.060606060606060552e+00,-9.695393515410932750e-01,-9.376366899454486870e-01,-9.645970463752746582e-01,-9.704648852348327637e-01,-9.675623178482055664e-01
-5.898989898989898784e+00,-9.673308219529669350e-01,-9.332742696794877890e-01,-9.623482823371887207e-01,-9.683051109313964844e-01,-9.649616479873657227e-01
-5.737373737373737015e+00,-9.649679502106144335e-01,-9.286299184163674392e-01,-9.599542617797851562e-01,-9.660018682479858398e-01,-9.621477127075195312e-01
-5.575757575757576134e+00,-9.624408141041522757e-01,-9.236887359423019417e-01,-9.574078321456909180e-01,-9.635464549064636230e-01,-9.591422080993652344e-01
