x, true, terminal, branch, dgm
-5.000000000000000000e+00,4.211104057944769465e+02,5.751127206880941003e+02,4.174632873535156250e+02,4.673860778808593750e+02
-4.898989898989898784e+00,3.881787149948620481e+02,5.324503734944082680e+02,4.008646850585937500e+02,4.332676391601562500e+02
-4.797979797979797567e+00,3.574344078614852833e+02,4.924111849188053043e+02,3.701564636230468750e+02,4.004692993164062500e+02
-4.696969696969697239e+00,3.287736363677453824e+02,4.548814130772234421e+02,3.297822875976562500e+02,3.691758422851562500e+02
-4.595959595959596022e+00,3.020950509358936529e+02,4.197498145344537761e+02,3.010915222167968750e+02,3.395321655273437500e+02
-4.494949494949494806e+00,2.772998004370359695e+02,3.869076443041413995e+02,2.831593627929687500e+02,3.116449584960937500e+02
-4.393939393939393590e+00,2.542915321911315232e+02,3.562486558487852903e+02,2.539939727783203125e+02,2.855647583007812500e+02
-4.292929292929293261e+00,2.329763919669932193e+02,3.276691010797380841e+02,2.355323028564453125e+02,2.612956237792968750e+02
-4.191919191919192045e+00,2.132630239822873079e+02,3.010677303572053916e+02,2.232623596191406250e+02,2.388266601562500000e+02
-4.090909090909090828e+00,1.950625709035340378e+02,2.763457924902469358e+02,1.997115173339843750e+02,2.181354980468750000e+02
-3.989898989898989612e+00,1.782886738461072582e+02,2.534070347367762963e+02,1.803241271972656250e+02,1.991779327392578125e+02
-3.888888888888888840e+00,1.628574723742343906e+02,2.321577028035604826e+02,1.644373474121093750e+02,1.818861694335937500e+02
-3.787878787878788067e+00,1.486876045009964855e+02,2.125065408462199912e+02,1.508456115722656250e+02,1.661773681640625000e+02
-3.686868686868686851e+00,1.357002066883281088e+02,1.943647914692290612e+02,1.387890319824218750e+02,1.519605255126953125e+02
-3.585858585858585634e+00,1.238189138470177539e+02,1.776461957259156748e+02,1.278299560546875000e+02,1.391371459960937500e+02
-3.484848484848484862e+00,1.129698593367074722e+02,1.622669931184614711e+02,1.176437149047851562e+02,1.276008453369140625e+02
-3.383838383838384090e+00,1.030816749658928160e+02,1.481459215979016335e+02,1.079046249389648438e+02,1.172400131225585938e+02
-3.282828282828282873e+00,9.408549099192303800e+01,1.352042175641248889e+02,9.864590454101562500e+01,1.079440917968750000e+02
-3.181818181818181657e+00,8.591493612100116195e+01,1.233656158658738207e+02,9.008570861816406250e+01,9.960933685302734375e+01
-3.080808080808080884e+00,7.850613750818374115e+01,1.125563498007446839e+02,8.220613098144531250e+01,9.213820648193359375e+01
-2.979797979797979668e+00,7.179772075738097215e+01,1.027051511151870926e+02,7.496474456787109375e+01,8.543206024169921875e+01
-2.878787878787878896e+00,6.573080992135676581e+01,9.374325000450461687e+01,6.836302185058593750e+01,7.938865661621093750e+01
-2.777777777777777679e+00,6.024902750172856969e+01,8.560437511285427092e+01,6.241650390625000000e+01,7.391201782226562500e+01
-2.676767676767676907e+00,5.529849444896759536e+01,7.822475353324678338e+01,5.710547637939453125e+01,6.892477416992187500e+01
-2.575757575757575690e+00,5.082783016239860530e+01,7.154311080754651186e+01,5.237207031250000000e+01,6.436877441406250000e+01
-2.474747474747474918e+00,4.678815249020007627e+01,6.550067092647152833e+01,4.814268112182617188e+01,6.019641113281250000e+01
-2.373737373737373701e+00,4.313307772940407858e+01,6.004115632959339877e+01,4.434996795654296875e+01,5.636314773559570312e+01
