x, true, terminal, branch, dgm
-5.000000000000000000e+00,4.211104057944769465e+02,5.751127206880941003e+02,7.235885009765625000e+02,3.305672912597656250e+02
-4.898989898989898784e+00,3.881787149948620481e+02,5.324503734944082680e+02,5.539213867187500000e+02,3.305525207519531250e+02
-4.797979797979797567e+00,3.574344078614852833e+02,4.924111849188053043e+02,5.171517944335937500e+02,3.305374450683593750e+02
-4.696969696969697239e+00,3.287736363677453824e+02,4.548814130772234421e+02,4.659208374023437500e+02,3.305220336914062500e+02
-4.595959595959596022e+00,3.020950509358936529e+02,4.197498145344537761e+02,3.419826660156250000e+02,3.305062561035156250e+02
-4.494949494949494806e+00,2.772998004370359695e+02,3.869076443041413995e+02,2.815099487304687500e+02,3.304901733398437500e+02
-4.393939393939393590e+00,2.542915321911315232e+02,3.562486558487852903e+02,2.579951782226562500e+02,3.304738159179687500e+02
-4.292929292929293261e+00,2.329763919669932193e+02,3.276691010797380841e+02,2.404206085205078125e+02,3.304570922851562500e+02
-4.191919191919192045e+00,2.132630239822873079e+02,3.010677303572053916e+02,2.228025665283203125e+02,3.304401550292968750e+02
-4.090909090909090828e+00,1.950625709035340378e+02,2.763457924902469358e+02,1.992790069580078125e+02,3.304230041503906250e+02
-3.989898989898989612e+00,1.782886738461072582e+02,2.534070347367762963e+02,1.768810729980468750e+02,3.304055480957031250e+02
-3.888888888888888840e+00,1.628574723742343906e+02,2.321577028035604826e+02,1.513650207519531250e+02,3.303879089355468750e+02
-3.787878787878788067e+00,1.486876045009964855e+02,2.125065408462199912e+02,1.392661590576171875e+02,3.303701477050781250e+02
-3.686868686868686851e+00,1.357002066883281088e+02,1.943647914692290612e+02,1.279316253662109375e+02,3.303522033691406250e+02
-3.585858585858585634e+00,1.238189138470177539e+02,1.776461957259156748e+02,1.116772003173828125e+02,3.303341979980468750e+02
-3.484848484848484862e+00,1.129698593367074722e+02,1.622669931184614711e+02,1.020449218750000000e+02,3.303161315917968750e+02
-3.383838383838384090e+00,1.030816749658928160e+02,1.481459215979016335e+02,9.518845367431640625e+01,3.302980346679687500e+02
-3.282828282828282873e+00,9.408549099192303800e+01,1.352042175641248889e+02,8.699592590332031250e+01,3.302800292968750000e+02
-3.181818181818181657e+00,8.591493612100116195e+01,1.233656158658738207e+02,7.854250335693359375e+01,3.302619934082031250e+02
-3.080808080808080884e+00,7.850613750818374115e+01,1.125563498007446839e+02,7.169869232177734375e+01,3.302441711425781250e+02
-2.979797979797979668e+00,7.179772075738097215e+01,1.027051511151870926e+02,6.622351837158203125e+01,3.302264709472656250e+02
-2.878787878787878896e+00,6.573080992135676581e+01,9.374325000450461687e+01,6.156578445434570312e+01,3.302090148925781250e+02
-2.777777777777777679e+00,6.024902750172856969e+01,8.560437511285427092e+01,5.744224929809570312e+01,3.301918334960937500e+02
-2.676767676767676907e+00,5.529849444896759536e+01,7.822475353324678338e+01,5.373028564453125000e+01,3.301749877929687500e+02
-2.575757575757575690e+00,5.082783016239860530e+01,7.154311080754651186e+01,5.037653350830078125e+01,3.301585998535156250e+02
-2.474747474747474918e+00,4.678815249020007627e+01,6.550067092647152833e+01,4.734986495971679688e+01,3.301426086425781250e+02
-2.373737373737373701e+00,4.313307772940407858e+01,6.004115632959339877e+01,4.462115859985351562e+01,3.301271972656250000e+02
-2.272727272727272929e+00,3.981872062589635419e+01,5.511078790533750293e+01,4.215331268310546875e+01,3.301123046875000000e+02
-2.171717171717171713e+00,3.680369437441625990e+01,5.065828499098273596e+01,3.990057754516601562e+01,3.300981750488281250e+02
