x, true, terminal, branch, dgm, bsde
-4.000000000000000000e+00,2.583997552432231171e+00,2.833213344056216165e+00,2.583644151687622070e+00,2.590745687484741211e+00,2.587930202484130859e+00
-3.919191919191919116e+00,2.540883103650158237e+00,2.794843322576124223e+00,2.540439128875732422e+00,2.548087358474731445e+00,2.544125318527221680e+00
-3.838383838383838231e+00,2.496901642391834653e+00,2.755772524905464316e+00,2.496333122253417969e+00,2.504429101943969727e+00,2.499586582183837891e+00
-3.757575757575757791e+00,2.452021806636008439e+00,2.715977071877504478e+00,2.451312780380249023e+00,2.459740161895751953e+00,2.454284667968750000e+00
-3.676767676767676907e+00,2.406210863344959705e+00,2.675432001365870338e+00,2.405362606048583984e+00,2.413990259170532227e+00,2.408187627792358398e+00
-3.595959595959596022e+00,2.359434675466292042e+00,2.634111218878294025e+00,2.358464717864990234e+00,2.367143392562866211e+00,2.361260890960693359e+00
-3.515151515151515138e+00,2.311657678277935890e+00,2.591987447996341398e+00,2.310597419738769531e+00,2.319161891937255859e+00,2.313466548919677734e+00
-3.434343434343434254e+00,2.262842868507505045e+00,2.549032181361639893e+00,2.261736392974853516e+00,2.270004987716674805e+00,2.264764308929443359e+00
-3.353535353535353369e+00,2.212951810598956737e+00,2.505215633129961095e+00,2.211851358413696289e+00,2.219628810882568359e+00,2.215111970901489258e+00
-3.272727272727272485e+00,2.161944665690416656e+00,2.460506694093939295e+00,2.160908222198486328e+00,2.167986392974853516e+00,2.164460182189941406e+00
-3.191919191919192045e+00,2.109780250373380461e+00,2.414872891028485125e+00,2.108866930007934570e+00,2.115026950836181641e+00,2.112759828567504883e+00
-3.111111111111111160e+00,2.056416134209345881e+00,2.368280352259440669e+00,2.055683612823486328e+00,2.060697793960571289e+00,2.059957027435302734e+00
-3.030303030303030276e+00,2.001808787391626598e+00,2.320693782020255114e+00,2.001307725906372070e+00,2.004942655563354492e+00,2.005993843078613281e+00
-2.949494949494949392e+00,1.945913792991712077e+00,2.272076446874506495e+00,1.945684790611267090e+00,1.947704553604125977e+00,1.950808286666870117e+00
-2.868686868686868507e+00,1.888686142089500475e+00,2.222390178383405690e+00,1.888756990432739258e+00,1.888923645019531250e+00,1.894336938858032227e+00
-2.787878787878788067e+00,1.830080634965251640e+00,2.171595397337048094e+00,1.830462455749511719e+00,1.828541994094848633e+00,1.836510896682739258e+00
-2.707070707070706739e+00,1.770052417688278812e+00,2.119651166309552082e+00,1.770739793777465820e+00,1.766502380371093750e+00,1.777262449264526367e+00
-2.626262626262626299e+00,1.708557691191146422e+00,2.066515279121818427e+00,1.709527015686035156e+00,1.702752470970153809e+00,1.716521859169006348e+00
-2.545454545454545414e+00,1.645554639649790651e+00,2.012144398103184795e+00,1.646766304969787598e+00,1.637247323989868164e+00,1.654224038124084473e+00
-2.464646464646464530e+00,1.581004637145247749e+00,1.956494252963208114e+00,1.582404375076293945e+00,1.569953560829162598e+00,1.590309023857116699e+00
-2.383838383838383645e+00,1.514873806660337996e+00,1.899519918778523664e+00,1.516395807266235352e+00,1.500852942466735840e+00,1.524729013442993164e+00
-2.303030303030302761e+00,1.447135023984964741e+00,1.841176195269110805e+00,1.448704838752746582e+00,1.429952025413513184e+00,1.457454681396484375e+00
-2.222222222222222321e+00,1.377770481536990888e+00,1.781418115433322624e+00,1.379307985305786133e+00,1.357286214828491211e+00,1.388480544090270996e+00
-2.141414141414140992e+00,1.306774953735166722e+00,1.720201619038345120e+00,1.308196306228637695e+00,1.282928466796875000e+00,1.317830324172973633e+00
-2.060606060606060552e+00,1.234159936233948152e+00,1.657484435791501953e+00,1.235377192497253418e+00,1.206999063491821289e+00,1.245562314987182617e+00
-1.979797979797979668e+00,1.159958865032767905e+00,1.593227234681947602e+00,1.160878658294677734e+00,1.129674196243286133e+00,1.171768903732299805e+00
-1.898989898989898784e+00,1.084233655625364889e+00,1.527395110472399509e+00,1.084751844406127930e+00,1.051192998886108398e+00,1.096572399139404297e+00
-1.818181818181817899e+00,1.007082831703690617e+00,1.459959496156625569e+00,1.007077574729919434e+00,9.718655347824096680e-01,1.020116567611694336e+00
-1.737373737373737015e+00,9.286515278709362997e-01,1.390900611868244541e+00,9.279731512069702148e-01,8.920777440071105957e-01,9.425503611564636230e-01
-1.656565656565656575e+00,8.491436350168777292e-01,1.320210586563059785e+00,8.476036190986633301e-01,8.122923970222473145e-01,8.640161752700805664e-01
-1.575757575757575690e+00,7.688362843302136707e-01,1.247897418755938403e+00,7.661939263343811035e-01,7.330503463745117188e-01,7.846387624740600586e-01
-1.494949494949494806e+00,6.880966970619789569e-01,1.173989975864951907e+00,6.840505003929138184e-01,6.549656391143798828e-01,7.045425176620483398e-01
-1.414141414141413922e+00,6.074011073077004719e-01,1.098544266084585441e+00,6.015847921371459961e-01,5.787194371223449707e-01,6.238908767700195312e-01
-1.333333333333333037e+00,5.273549257172009952e-01,1.021651247531980999e+00,5.193415880203247070e-01,5.050500631332397461e-01,5.429614782333374023e-01
-1.252525252525252153e+00,4.487124826554136359e-01,9.434464580548347357e-01,4.380262792110443115e-01,4.347406327724456787e-01,4.622378945350646973e-01
-1.171717171717171269e+00,3.723935283103200211e-01,8.641217407010755025e-01,3.585275411605834961e-01,3.686025142669677734e-01,3.824984431266784668e-01
-1.090909090909090828e+00,2.994922225597992926e-01,7.839392803894809081e-01,2.819281220436096191e-01,3.074573874473571777e-01,3.048473298549652100e-01
-1.010101010101009944e+00,2.312728512399926106e-01,7.032480201886145421e-01,2.095065861940383911e-01,2.521160244941711426e-01,2.306337356567382812e-01
-9.292929292929290597e-01,1.691454815941181578e-01,6.225022389602028472e-01,1.427282392978668213e-01,2.033561915159225464e-01,1.613092720508575439e-01
-8.484848484848481753e-01,1.146150804240317900e-01,5.422815795111277648e-01,8.322175592184066772e-02,1.619003713130950928e-01,9.836180508136749268e-02
-7.676767676767672910e-01,6.920031179334656946e-02,4.633110460574256795e-01,3.272798284888267517e-02,1.283913105726242065e-01,4.344882816076278687e-02
-6.868686868686864067e-01,3.432403834324546793e-02,3.864783911071200118e-01,-6.982299499213695526e-03,1.033703312277793884e-01,-1.379350898787379265e-03
-6.060606060606059664e-01,1.118605431742875078e-02,3.128449097510483945e-01,-3.422216325998306274e-02,8.725287765264511108e-02,-3.358519077301025391e-02
-5.252525252525250821e-01,6.374867937384315775e-04,2.436441430425394239e-01,-4.752738028764724731e-02,8.031109720468521118e-02,-5.061863735318183899e-02
-4.444444444444441977e-01,3.081666537408114370e-03,1.802618238309438570e-01,-4.582647979259490967e-02,8.265773206949234009e-02,-5.096668750047683716e-02
-3.636363636363633134e-01,1.842426732605850423e-02,1.241903802313836375e-01,-2.860503271222114563e-02,9.423989802598953247e-02,-3.466590493917465210e-02
-2.828282828282824291e-01,4.608513242896880580e-02,7.695348329978553281e-02,4.016255028545856476e-03,1.148383170366287231e-01,-2.849132986739277840e-03
-2.020202020202015447e-01,8.506878805533647780e-02,4.000133341333877296e-02,5.127073451876640320e-02,1.440779864788055420e-01,4.256455227732658386e-02
