x, true, terminal, branch, dgm
-3.000000000000000000e+00,-9.422223406686580649e-01,-9.899924966004454152e-01,-9.604135751724243164e-01,-1.478456705808639526e-01
-2.939393939393939448e+00,-9.202025486934006793e-01,-9.796273921267035778e-01,-9.401699304580688477e-01,-1.463151872158050537e-01
-2.878787878787878896e+00,-8.948038001809127673e-01,-9.656651248485589312e-01,-9.160696864128112793e-01,-1.448619216680526733e-01
-2.818181818181818343e+00,-8.661193585843827147e-01,-9.481569637984230692e-01,-8.880613446235656738e-01,-1.434864103794097900e-01
-2.757575757575757791e+00,-8.342545523248053874e-01,-9.271671984257428001e-01,-8.562338948249816895e-01,-1.421893537044525146e-01
-2.696969696969696795e+00,-7.993263880281361589e-01,-9.027729025280442077e-01,-8.207651376724243164e-01,-1.409710347652435303e-01
-2.636363636363636243e+00,-7.614631208804226725e-01,-8.750636512382280463e-01,-7.818840742111206055e-01,-1.398319303989410400e-01
-2.575757575757575690e+00,-7.208037836785541330e-01,-8.441411921073311841e-01,-7.398540377616882324e-01,-1.387721300125122070e-01
-2.515151515151515138e+00,-6.774976763059450402e-01,-8.101190714905293078e-01,-6.949526071548461914e-01,-1.377917379140853882e-01
-2.454545454545454586e+00,-6.317038175077799300e-01,-7.731222176082798159e-01,-6.474577188491821289e-01,-1.368907988071441650e-01
-2.393939393939394034e+00,-5.835903609788846147e-01,-7.332864818135917950e-01,-5.976318120956420898e-01,-1.360691189765930176e-01
-2.333333333333333037e+00,-5.333339779083332566e-01,-6.907581397498760989e-01,-5.457032918930053711e-01,-1.353264302015304565e-01
-2.272727272727272485e+00,-4.811192082480697518e-01,-6.456933542311115160e-01,-4.918662011623382568e-01,-1.346621662378311157e-01
-2.212121212121211933e+00,-4.271377830876609272e-01,-5.982576018166093634e-01,-4.363119602203369141e-01,-1.340758800506591797e-01
-2.151515151515151381e+00,-3.715879206234092846e-01,-5.486250651859839733e-01,-3.792992830276489258e-01,-1.335668116807937622e-01
-2.090909090909090828e+00,-3.146735983069986475e-01,-4.969779935455057585e-01,-3.211966156959533691e-01,-1.331341266632080078e-01
-2.030303030303030276e+00,-2.566038038463269721e-01,-4.435060334144070304e-01,-2.624260187149047852e-01,-1.327767223119735718e-01
-1.969696969696969724e+00,-1.975917678088243423e-01,-3.884055322484735728e-01,-2.032971680164337158e-01,-1.324934512376785278e-01
-1.909090909090909172e+00,-1.378541806451174245e-01,-3.318788174579952455e-01,-1.438577920198440552e-01,-1.322829276323318481e-01
-1.848484848484848397e+00,-7.761039700810476449e-02,-2.741334534675005652e-01,-8.389307558536529541e-02,-1.321436613798141479e-01
-1.787878787878787845e+00,-1.708163028916112602e-02,-2.153814795453309894e-01,-2.308370545506477356e-02,-1.320739388465881348e-01
-1.727272727272727293e+00,4.350985967089292250e-02,-1.558386312017186470e-01,3.875450044870376587e-02,-1.320720911026000977e-01
-1.666666666666666519e+00,1.039415827133509523e-01,-9.572354801437543692e-02,1.014307588338851929e-01,-1.321359723806381226e-01
-1.606060606060605966e+00,1.639916353389010706e-01,-3.525697079043223214e-02,1.642847657203674316e-01,-1.322635710239410400e-01
-1.545454545454545414e+00,2.234395155307122016e-01,2.533906898727637108e-02,2.262734174728393555e-01,-1.324525773525238037e-01
-1.484848484848484862e+00,2.820669324313163084e-01,8.584206445324789325e-02,2.862400412559509277e-01,-1.327007263898849487e-01
-1.424242424242424310e+00,3.396586079001795433e-01,1.460298503979400864e-01,3.434521555900573730e-01,-1.330054104328155518e-01
-1.363636363636363535e+00,3.960030670086661098e-01,2.056814190518485019e-01,3.985709249973297119e-01,-1.333639919757843018e-01
-1.303030303030302983e+00,4.508934145697195972e-01,2.645777316194973250e-01,4.543242454528808594e-01,-1.337737739086151123e-01
-1.242424242424242431e+00,5.041280948508706228e-01,3.225025225834181053e-01,5.126486420631408691e-01,-1.342318952083587646e-01
-1.181818181818181657e+00,5.555116316809234345e-01,3.792430938247314254e-01,5.621987581253051758e-01,-1.347353756427764893e-01
-1.121212121212121104e+00,6.048553462326733410e-01,4.345910956443470030e-01,6.149758100509643555e-01,-1.352812349796295166e-01
-1.060606060606060552e+00,6.519780498459796236e-01,4.883432918168963965e-01,7.661464214324951172e-01,-1.358664333820343018e-01
-1.000000000000000000e+00,6.967067093471653871e-01,5.403023058681397650e-01,6.879376173019409180e-01,-1.364877820014953613e-01
-9.393939393939394478e-01,7.388770824217121280e-01,5.902773458355402569e-01,7.464535236358642578e-01,-1.371420472860336304e-01
-8.787878787878788955e-01,7.783343207071806713e-01,6.380849048507067911e-01,7.789390683174133301e-01,-1.378260552883148193e-01
-8.181818181818183433e-01,8.149335383918167031e-01,6.835494349711863649e-01,8.132473826408386230e-01,-1.385365128517150879e-01
-7.575757575757573470e-01,8.485403442309660260e-01,7.265039917873153952e-01,8.476592302322387695e-01,-1.392702162265777588e-01
-6.969696969696967948e-01,8.790313350277485505e-01,7.667908474371526450e-01,9.227633476257324219e-01,-1.400237232446670532e-01
-6.363636363636362425e-01,9.062945487659478383e-01,8.042620697785241024e-01,9.439412355422973633e-01,-1.407939642667770386e-01
-5.757575757575756903e-01,9.302298757312217337e-01,8.387800655914716685e-01,9.444905519485473633e-01,-1.415775865316390991e-01
-5.151515151515151381e-01,9.507494261110122080e-01,8.702180858164869637e-01,9.592027664184570312e-01,-1.423712968826293945e-01
-4.545454545454545858e-01,9.677778527233372730e-01,8.984606909733078295e-01,9.765793681144714355e-01,-1.431720256805419922e-01
-3.939393939393940336e-01,9.812526276894137922e-01,9.234041750512754776e-01,9.924573898315429688e-01,-1.439764946699142456e-01
-3.333333333333330373e-01,9.911242720341794099e-01,9.449569463147378112e-01,1.006922602653503418e+00,-1.447817534208297729e-01
-2.727272727272724850e-01,9.973565373716243299e-01,9.630398636251923383e-01,1.030034780502319336e+00,-1.455846726894378662e-01
-2.121212121212119328e-01,9.999265390077934912e-01,9.775865270452068767e-01,1.036326527595520020e+00,-1.463823616504669189e-01
-1.515151515151513806e-01,9.988248399727049920e-01,9.885435216570247485e-01,1.007241606712341309e+00,-1.471718251705169678e-01
-9.090909090909082835e-02,9.940554856726250277e-01,9.958706137005628456e-01,9.968431591987609863e-01,-1.479503810405731201e-01
-3.030303030303027612e-02,9.856359890354556841e-01,9.995408983105884548e-01,9.817179441452026367e-01,-1.487151980400085449e-01
3.030303030303027612e-02,9.735972662037820635e-01,9.995408983105884548e-01,9.704458117485046387e-01,-1.494636386632919312e-01
9.090909090909082835e-02,9.579835230117104139e-01,9.958706137005628456e-01,9.684082865715026855e-01,-1.501931548118591309e-01
1.515151515151513806e-01,9.388520926623541429e-01,9.885435216570247485e-01,9.576241374015808105e-01,-1.509011685848236084e-01
2.121212121212123769e-01,9.162732252020068247e-01,9.775865270452067657e-01,9.386946558952331543e-01,-1.515854299068450928e-01
2.727272727272729291e-01,8.903298295640519333e-01,9.630398636251921163e-01,9.151991605758666992e-01,-1.522435247898101807e-01
3.333333333333334814e-01,8.611171691298102893e-01,9.449569463147375892e-01,8.869687914848327637e-01,-1.528730839490890503e-01
3.939393939393940336e-01,8.287425119242229909e-01,9.234041750512754776e-01,8.537227511405944824e-01,-1.534721553325653076e-01
4.545454545454545858e-01,7.933247367308369213e-01,8.984606909733078295e-01,8.229087591171264648e-01,-1.540383547544479370e-01
5.151515151515151381e-01,7.549938965724283246e-01,8.702180858164869637e-01,7.863256931304931641e-01,-1.545698046684265137e-01
5.757575757575756903e-01,7.138907411601500552e-01,8.387800655914716685e-01,7.365739941596984863e-01,-1.550644934177398682e-01
6.363636363636366866e-01,6.701662000647559125e-01,8.042620697785237693e-01,6.842849850654602051e-01,-1.555204093456268311e-01
6.969696969696972388e-01,6.239808285076826611e-01,7.667908474371523120e-01,6.337200403213500977e-01,-1.559356153011322021e-01
7.575757575757577911e-01,5.755042178070249870e-01,7.265039917873150621e-01,5.846066474914550781e-01,-1.563083380460739136e-01
8.181818181818183433e-01,5.249143726432332624e-01,6.835494349711863649e-01,5.089436769485473633e-01,-1.566367596387863159e-01
8.787878787878788955e-01,4.723970574311924242e-01,6.380849048507067911e-01,4.674494862556457520e-01,-1.569190025329589844e-01
9.393939393939394478e-01,4.181451141987858056e-01,5.902773458355402569e-01,4.414027631282806396e-01,-1.571534276008605957e-01
1.000000000000000000e+00,3.623577544766736214e-01,5.403023058681397650e-01,3.995955288410186768e-01,-1.573383510112762451e-01
1.060606060606060552e+00,3.052398277994453069e-01,4.883432918168963965e-01,3.433449268341064453e-01,-1.574720144271850586e-01
1.121212121212121104e+00,2.470010695041884308e-01,4.345910956443470030e-01,2.811936140060424805e-01,-1.575528830289840698e-01
1.181818181818181657e+00,1.878553305885353741e-01,3.792430938247314254e-01,2.196675091981887817e-01,-1.575793474912643433e-01
1.242424242424242209e+00,1.280197924561262135e-01,3.225025225834183273e-01,1.548750102519989014e-01,-1.575498878955841064e-01
1.303030303030302761e+00,6.771416943291909407e-02,2.645777316194975470e-01,8.155401796102523804e-02,-1.574630141258239746e-01
1.363636363636363313e+00,7.159901982685171716e-03,2.056814190518487240e-01,5.793686024844646454e-03,-1.573173105716705322e-01
1.424242424242424754e+00,-5.342065641582475349e-02,1.460298503979396423e-01,-6.578611582517623901e-02,-1.571113914251327515e-01
1.484848484848485306e+00,-1.138050557442728677e-01,8.584206445324744916e-02,-1.299963444471359253e-01,-1.568440049886703491e-01
1.545454545454545858e+00,-1.737715662746264766e-01,2.533906898727592699e-02,-1.889608800411224365e-01,-1.565137356519699097e-01
1.606060606060606410e+00,-2.330999927541565486e-01,-3.525697079043267623e-02,-2.757920324802398682e-01,-1.561196148395538330e-01
1.666666666666666963e+00,-2.915724829558928310e-01,-9.572354801437588101e-02,-3.479453921318054199e-01,-1.556603461503982544e-01
1.727272727272727515e+00,-3.489743276255565796e-01,-1.558386312017188413e-01,-3.918729722499847412e-01,-1.551350057125091553e-01
1.787878787878788067e+00,-4.050947488875909497e-01,-2.153814795453312114e-01,-4.335623383522033691e-01,-1.545426547527313232e-01
1.848484848484848619e+00,-4.597276742152847095e-01,-2.741334534675007872e-01,-4.759087562561035156e-01,-1.538824141025543213e-01
1.909090909090909172e+00,-5.126724931229937887e-01,-3.318788174579952455e-01,-5.200940966606140137e-01,-1.531534492969512939e-01
