runtime,l1_error,l2_error,rel_error
5.987429714202880859e+01,3.453876558485926163e-03,1.907230371049953898e-05,7.433031726148738028e-03
5.460547494888305664e+01,3.193839359283315305e-03,1.684463171705167855e-05,6.492861759602086905e-03
5.649127674102783203e+01,3.608887743653482402e-03,2.053039849960000229e-05,8.125255971800159072e-03
5.464435648918151855e+01,3.436208879903079275e-03,2.188669292118793720e-05,6.790222025426769469e-03
5.585608410835266113e+01,3.487212342325721106e-03,1.928446098969994866e-05,6.174784443379670654e-03
5.592166829109191895e+01,3.362233364967799967e-03,1.807708368296336021e-05,6.975186542152159511e-03
5.622416520118713379e+01,3.241323068266055950e-03,1.873318663809891532e-05,6.407835915750666883e-03
5.489525938034057617e+01,3.255872053557879418e-03,1.653016599538379585e-05,5.440556738612084726e-03
5.713393568992614746e+01,3.463609737355793482e-03,1.919797498092103326e-05,6.652762351981808715e-03
5.434758138656616211e+01,3.694063311193144638e-03,2.086625911045291500e-05,6.754671731314975877e-03
