runtime,l1_error,l2_error,rel_error
4.348669719696044922e+01,1.767425360671373612e-03,9.314931886415064147e-06,3.472923884917277198e-03
4.338134980201721191e+01,1.654594342668579392e-03,5.702232382369706329e-06,4.347220895623163037e-03
4.174789476394653320e+01,1.386814878751538218e-03,5.996878723797510454e-06,3.077783114115394819e-03
4.192122197151184082e+01,1.342195785878011992e-03,9.286415108208165016e-06,2.827267375658163058e-03
4.354872226715087891e+01,1.730250449262468173e-03,8.706075867470743833e-06,5.062659960585426909e-03
4.238975906372070312e+01,1.768752805440001975e-03,8.812475692166458311e-06,4.225801009464581412e-03
4.143158197402954102e+01,1.946517382462454974e-03,1.185810001204046918e-05,4.406617171801737592e-03
4.159021949768066406e+01,1.877683409881260659e-03,8.178876076120098035e-06,5.801373082499157972e-03
4.182394719123840332e+01,1.710603130776871530e-03,4.376145219086669406e-06,5.627515910136052929e-03
4.164678454399108887e+01,1.660042227592025766e-03,1.401297275034750031e-05,4.169883380074639392e-03
