runtime,l1_error,l2_error,rel_error
4.321393990516662598e+01,3.109070282788934866e-03,1.984234551518958693e-05,9.049383517721569861e-03
4.342340373992919922e+01,2.786721579278318272e-03,1.571526386611941568e-05,1.098464681961892897e-02
4.146959328651428223e+01,2.186852246334462790e-03,7.749614869316169376e-06,9.501925010879491360e-03
4.213580107688903809e+01,2.451086995554902729e-03,1.335207101855283822e-05,1.449266863600474041e-02
4.361906170845031738e+01,3.033242397952330607e-03,1.400569490954941571e-05,1.060095596537732714e-02
4.368831944465637207e+01,3.553294042607061352e-03,1.819864558630599288e-05,1.440997965019411541e-02
4.319126391410827637e+01,3.990416699423210423e-03,2.798119935906494347e-05,1.602793438231145048e-02
4.349094724655151367e+01,2.391160120919122185e-03,9.271759924380702133e-06,9.179601630730380157e-03
4.340560507774353027e+01,4.883535913373502312e-03,3.598571421132461186e-05,2.496878628788150312e-02
4.333569097518920898e+01,2.762065767035023350e-03,1.291450657300308722e-05,8.700742400762889045e-03
