runtime,l1_error,l2_error,rel_error
7.657713007926940918e+01,1.087863527258839902e+01,5.241974645937849573e+02,2.662758056673194540e-01
7.505817055702209473e+01,1.140909905407317027e+01,4.518268362786861871e+02,2.413561434326330912e-01
8.194413137435913086e+01,1.151114223623231503e+01,6.974399735176368722e+02,2.001217142394663417e-01
7.851585149765014648e+01,7.542055885613283550e+00,1.468070280835767107e+02,2.304643503587490705e-01
8.091606235504150391e+01,8.224322429014684133e+00,2.480405028038826174e+02,2.642097689466139099e-01
7.482805252075195312e+01,1.122843763306440223e+01,4.131265818247476318e+02,2.866846289775049073e-01
7.156894159317016602e+01,7.920135098905031867e+00,1.996954327456190015e+02,1.782097300290511055e-01
7.109585285186767578e+01,1.331955079734849967e+01,7.176057415724905013e+02,2.061869469268436950e-01
6.608219766616821289e+01,9.242923773097453832e+00,2.775824302623071276e+02,1.944457224766371339e-01
8.217455077171325684e+01,8.451390979828806493e+00,2.528889412155174341e+02,2.598766926689179413e-01
