runtime,l1_error,l2_error,rel_error
2.497841095924377441e+01,1.037072238153031664e-02,4.233281127040403242e-04,9.309664134702478888e-01
2.616084909439086914e+01,1.049754165542738510e-02,3.516126158146593104e-04,8.112060338802552506e-01
2.711815500259399414e+01,1.244231965283163453e-02,4.671871319702729100e-04,1.385214018527450630e+00
2.667272567749023438e+01,1.294728257028544133e-02,4.813189564984916868e-04,1.272966984196765239e+00
2.673832035064697266e+01,1.173248345394461989e-02,4.396668424844795472e-04,9.145655607621928640e-01
2.575648951530456543e+01,1.088379600709564812e-02,3.502355013140674711e-04,7.465725514956038644e-01
2.566123557090759277e+01,1.179296993309013851e-02,4.122681745998959331e-04,7.534952819916630462e-01
2.644954729080200195e+01,1.159782269722497289e-02,3.902586501701709462e-04,9.835335967557524706e-01
2.673698759078979492e+01,9.152788360601231410e-03,2.729327679482433894e-04,7.694786536261314369e-01
2.661022377014160156e+01,9.868935393352637475e-03,3.228806050988742172e-04,7.588095365629444755e-01
