runtime,l1_error,l2_error,rel_error
1.250824351310729980e+02,1.699214496839356880e-01,1.432297350933497970e+00,3.963319729840265593e-01
1.060834143161773682e+02,3.886875157386997237e-02,2.720214522149534860e-03,1.664424985023034986e-01
2.797015440464019775e+02,3.223164833075844310e-02,2.405476374028914753e-03,1.953018640170355591e-01
1.254742679595947266e+02,2.106101735811241951e-02,2.778439850085993520e-03,2.390778381269569874e-01
1.153004372119903564e+02,2.321632965573398183e-02,1.344645788777669914e-03,7.529573977251827199e-02
1.547192354202270508e+02,4.499473665110977766e-02,8.424338958121481424e-03,8.662494653794824973e-02
1.468253817558288574e+02,1.312156044089532632e-02,2.349894411620762535e-04,7.075820924724786354e-02
9.110612344741821289e+01,3.006089082251647490e-02,3.600839032845623133e-03,1.030085468940649951e-01
1.542837581634521484e+02,2.333109003670223724e-02,1.359118878930350464e-03,1.684035738850080677e-01
2.621518290042877197e+02,2.254550675509888955e-02,1.055461640379215093e-03,6.032943083464260142e-02
