runtime,l1_error,l2_error,rel_error
4.173000311851501465e+01,9.153552371586109668e-03,1.412233090925851852e-04,3.590325758803062381e-04
4.086757922172546387e+01,1.276092819755124397e-02,2.402860155440839876e-04,4.940934693890880643e-04
4.079227805137634277e+01,9.372671695484590879e-03,1.385835288389175471e-04,3.657179856036164032e-04
4.203015494346618652e+01,8.658590906495965828e-03,1.119742936148008031e-04,3.462728834022576574e-04
4.104891037940979004e+01,1.370050389539382955e-02,2.681653573228593487e-04,5.493635751861767691e-04
3.927641582489013672e+01,1.161541887907784412e-02,1.993145550056434631e-04,4.503947241935292662e-04
4.063303828239440918e+01,1.111877828377817734e-02,1.875043857635102596e-04,4.350842594656089074e-04
3.928638529777526855e+01,1.393682561022469533e-02,3.131694149138884264e-04,5.355228651504806339e-04
3.882199192047119141e+01,8.704837358165740113e-03,1.280739043404969157e-04,3.426999815130751001e-04
4.419438624382019043e+01,8.497569251540432536e-03,1.167046310841915094e-04,3.317744142427880871e-04
