runtime,l1_error,l2_error,rel_error
8.435436892509460449e+01,5.112024603108111798e-03,5.216204348106529199e-05,1.084575969526405226e+00
8.132803320884704590e+01,4.856126837966378250e-03,3.557013476667758768e-05,6.126787655308727487e-01
8.349252963066101074e+01,3.835433828399978460e-03,3.033493569166990551e-05,6.997474110519439350e-01
8.132371830940246582e+01,3.739211165039260567e-03,2.032532772136359578e-05,2.625074645994767697e-01
8.982762026786804199e+01,4.713571809368648224e-03,4.122048911771313706e-05,5.254062977935000101e-01
8.633647799491882324e+01,4.947129816764665212e-03,5.962199953579974047e-05,2.412849826975307366e-01
8.236649537086486816e+01,5.539670217285361589e-03,5.873512184309485077e-05,4.700938847797125897e-01
8.166480231285095215e+01,4.419385700734554216e-03,4.641005964062423772e-05,4.697531585453423864e-01
8.229872679710388184e+01,5.523750532874385256e-03,4.907456804040637031e-05,6.071237337664154854e-01
8.003596782684326172e+01,7.275284467119664915e-03,9.848553031134297847e-05,3.122932559982886658e-01
