x,y
1.448207702636718750e+02,2.536865234375000000e+01
1.322966918945312500e+02,2.417489624023437500e+01
1.702920532226562500e+02,2.743866539001464844e+01
1.397831268310546875e+02,2.488971900939941406e+01
2.086456604003906250e+02,3.038167572021484375e+01
1.818482666015625000e+02,2.833037757873535156e+01
1.385875244140625000e+02,2.474497604370117188e+01
1.398588409423828125e+02,2.487757873535156250e+01
2.039505920410156250e+02,3.007151031494140625e+01
1.480935516357421875e+02,2.560846900939941406e+01
1.015267639160156250e+02,2.111299514770507812e+01
1.933493652343750000e+02,2.931043434143066406e+01
1.082309570312500000e+02,2.191610336303710938e+01
1.402739410400390625e+02,2.493135643005371094e+01
1.106716690063476562e+02,2.216879653930664062e+01
1.781084289550781250e+02,2.814296340942382812e+01
1.391885223388671875e+02,2.484632682800292969e+01
1.064634094238281250e+02,2.180745315551757812e+01
1.660615539550781250e+02,2.707213211059570312e+01
1.212840652465820312e+02,2.321777153015136719e+01
1.914999389648437500e+02,2.917007446289062500e+01
1.612825927734375000e+02,2.672373390197753906e+01
1.781533508300781250e+02,2.803578186035156250e+01
1.035345306396484375e+02,2.143561363220214844e+01
1.477223815917968750e+02,2.561354446411132812e+01
1.719334411621093750e+02,2.760491943359375000e+01
1.564354095458984375e+02,2.626880264282226562e+01
1.585024108886718750e+02,2.648118400573730469e+01
1.399226989746093750e+02,2.489653968811035156e+01
1.574291687011718750e+02,2.639315223693847656e+01
1.757537231445312500e+02,2.794534301757812500e+01
1.716586914062500000e+02,2.751829338073730469e+01
1.244807739257812500e+02,2.352286148071289062e+01
1.073116607666015625e+02,2.181728363037109375e+01
1.111442413330078125e+02,2.219072532653808594e+01
1.476065063476562500e+02,2.560666275024414062e+01
1.104493255615234375e+02,2.211694335937500000e+01
2.050122375488281250e+02,3.020199394226074219e+01
1.582444915771484375e+02,2.643968772888183594e+01
1.922463531494140625e+02,2.920136833190917969e+01
1.610858154296875000e+02,2.669202423095703125e+01
1.615487976074218750e+02,2.669396781921386719e+01
1.149879074096679688e+02,2.255844879150390625e+01
1.583771057128906250e+02,2.653083992004394531e+01
1.995742950439453125e+02,2.972171783447265625e+01
1.389039306640625000e+02,2.475721168518066406e+01
9.031065368652343750e+01,1.995512580871582031e+01
1.063756256103515625e+02,2.170903778076171875e+01
1.048391036987304688e+02,2.156312561035156250e+01
1.300928497314453125e+02,2.401650619506835938e+01
1.880500183105468750e+02,2.886106300354003906e+01
9.955717468261718750e+01,2.104505348205566406e+01
1.462261505126953125e+02,2.546837043762207031e+01
1.904825134277343750e+02,2.898160362243652344e+01
1.845859985351562500e+02,2.862941169738769531e+01
1.184568786621093750e+02,2.292686653137207031e+01
1.177161331176757812e+02,2.285412979125976562e+01
1.914036407470703125e+02,2.907855606079101562e+01
1.794840698242187500e+02,2.819431877136230469e+01
1.849716339111328125e+02,2.862365531921386719e+01
1.842251586914062500e+02,2.852848815917968750e+01
1.741052703857421875e+02,2.777103042602539062e+01
1.651055603027343750e+02,2.706271171569824219e+01
1.864220275878906250e+02,2.878794670104980469e+01
1.854345703125000000e+02,2.871774291992187500e+01
1.377508697509765625e+02,2.472109222412109375e+01
1.331415710449218750e+02,2.429595184326171875e+01
1.006781768798828125e+02,2.115599060058593750e+01
1.647248535156250000e+02,2.701309394836425781e+01
1.142301788330078125e+02,2.243385124206542969e+01
9.764002990722656250e+01,2.080094909667968750e+01
1.425272674560546875e+02,2.514728355407714844e+01
1.878141784667968750e+02,2.889965248107910156e+01
1.046543579101562500e+02,2.153409767150878906e+01
1.162523498535156250e+02,2.270093727111816406e+01
1.138155212402343750e+02,2.249374771118164062e+01
1.574828491210937500e+02,2.644355583190917969e+01
2.060114898681640625e+02,3.017686843872070312e+01
1.953672180175781250e+02,2.937986183166503906e+01
1.008108673095703125e+02,2.114357566833496094e+01
1.786940917968750000e+02,2.819765090942382812e+01
1.073987350463867188e+02,2.182943153381347656e+01
1.923574218750000000e+02,2.922634124755859375e+01
1.904114074707031250e+02,2.901579284667968750e+01
2.027159729003906250e+02,2.998536300659179688e+01
1.021497039794921875e+02,2.127321815490722656e+01
