runtime,l1_error,l2_error,rel_error
3.937105271816253662e+02,6.412739007175944916e-01,5.215468974652942569e-01,1.319368571038870952e+00
4.222361910343170166e+02,6.402501673252366521e-01,5.215920311888347927e-01,1.361460425443101752e+00
3.961287093162536621e+02,6.475931390649486419e-01,5.372955809603050525e-01,1.460700289242072625e+00
4.075457983016967773e+02,6.354358326527691503e-01,5.132742967512080590e-01,1.351187429248511984e+00
4.114511778354644775e+02,6.400128496439241310e-01,5.226860236136696702e-01,1.384218570778559254e+00
3.926392385959625244e+02,6.308248361084080047e-01,5.041095059734365114e-01,1.318686208408634375e+00
3.930596106052398682e+02,6.258488010499096976e-01,4.956293610504966529e-01,1.297838813715979533e+00
3.927977628707885742e+02,6.404537230614042453e-01,5.207105291739576591e-01,1.358834119844816168e+00
3.927438886165618896e+02,6.405780383200430084e-01,5.231429054234433274e-01,1.384274784514008427e+00
3.935723662376403809e+02,6.384099861118412989e-01,5.166742564089615852e-01,1.337831326610656735e+00
