x, true, terminal, branch, dgm, bsde
-8.000000000000000000e+00,-9.869741597708527880e-01,-9.728197647383156621e-01,-9.831396341323852539e-01,-9.879347085952758789e-01,-9.855329394340515137e-01
-7.838383838383838231e+00,-9.860114912407043075e-01,-9.708419264208434374e-01,-9.822869300842285156e-01,-9.869644045829772949e-01,-9.844617843627929688e-01
-7.676767676767676463e+00,-9.849787599493532442e-01,-9.687247926782828200e-01,-9.808771014213562012e-01,-9.859129190444946289e-01,-9.834573864936828613e-01
-7.515151515151515582e+00,-9.838710322590609181e-01,-9.664592471475667024e-01,-9.798935651779174805e-01,-9.848288297653198242e-01,-9.823090434074401855e-01
-7.353535353535353813e+00,-9.826830523636364001e-01,-9.640356805057263001e-01,-9.788433909416198730e-01,-9.836117625236511230e-01,-9.811131358146667480e-01
-7.191919191919192045e+00,-9.814092251251486099e-01,-9.614439795851921211e-01,-9.774475097656250000e-01,-9.824143648147583008e-01,-9.797727465629577637e-01
-7.030303030303030276e+00,-9.800435986125473065e-01,-9.586735189464976603e-01,-9.759879112243652344e-01,-9.810581207275390625e-01,-9.784549474716186523e-01
-6.868686868686868507e+00,-9.785798464512818207e-01,-9.557131554362769954e-01,-9.743467569351196289e-01,-9.794653654098510742e-01,-9.767274856567382812e-01
-6.707070707070706739e+00,-9.770112501166754448e-01,-9.525512263185327289e-01,-9.728439450263977051e-01,-9.779657125473022461e-01,-9.753850698471069336e-01
-6.545454545454544970e+00,-9.753306813306101830e-01,-9.491755516289956951e-01,-9.711720347404479980e-01,-9.763017892837524414e-01,-9.739750027656555176e-01
-6.383838383838384090e+00,-9.735305847512398802e-01,-9.455734414648827579e-01,-9.693479537963867188e-01,-9.745272397994995117e-01,-9.718540310859680176e-01
-6.222222222222222321e+00,-9.716029611791792142e-01,-9.417317089839404298e-01,-9.675186276435852051e-01,-9.726362228393554688e-01,-9.698718190193176270e-01
-6.060606060606060552e+00,-9.695393515410932750e-01,-9.376366899454486870e-01,-9.655821919441223145e-01,-9.707520604133605957e-01,-9.675961732864379883e-01
-5.898989898989898784e+00,-9.673308219529669350e-01,-9.332742696794877890e-01,-9.632099270820617676e-01,-9.683570861816406250e-01,-9.651708602905273438e-01
-5.737373737373737015e+00,-9.649679502106144335e-01,-9.286299184163674392e-01,-9.609384536743164062e-01,-9.661688804626464844e-01,-9.628002047538757324e-01
-5.575757575757576134e+00,-9.624408141041522757e-01,-9.236887359423019417e-01,-9.586335420608520508e-01,-9.637070894241333008e-01,-9.599040150642395020e-01
-5.414141414141413478e+00,-9.597389820060517884e-01,-9.184355065662489492e-01,-9.560871124267578125e-01,-9.610428810119628906e-01,-9.569051861763000488e-01
-5.252525252525252597e+00,-9.568515062386739878e-01,-9.128547653818133156e-01,-9.533053636550903320e-01,-9.583628773689270020e-01,-9.537079930305480957e-01
-5.090909090909090828e+00,-9.537669197863634096e-01,-9.069308767822752415e-01,-9.503344297409057617e-01,-9.553347826004028320e-01,-9.504405856132507324e-01
-4.929292929292929060e+00,-9.504732369784818502e-01,-9.006481261306926722e-01,-9.470884203910827637e-01,-9.521385431289672852e-01,-9.466150403022766113e-01
-4.767676767676767291e+00,-9.469579588321618280e-01,-8.939908253949176986e-01,-9.439624547958374023e-01,-9.487935900688171387e-01,-9.428782463073730469e-01
-4.606060606060605522e+00,-9.432080838056788874e-01,-8.869434334234029826e-01,-9.404948353767395020e-01,-9.451014399528503418e-01,-9.388635754585266113e-01
-4.444444444444444642e+00,-9.392101247734436775e-01,-8.794906913561219008e-01,-9.369840621948242188e-01,-9.414449930191040039e-01,-9.346963763236999512e-01
-4.282828282828281985e+00,-9.349501330894834927e-01,-8.716177734305271541e-01,-9.329140782356262207e-01,-9.372175931930541992e-01,-9.303444027900695801e-01
-4.121212121212121104e+00,-9.304137306552814346e-01,-8.633104531508515311e-01,-9.288427233695983887e-01,-9.330061674118041992e-01,-9.254293441772460938e-01
-3.959595959595959336e+00,-9.255861509467568915e-01,-8.545552844371662182e-01,-9.244319200515747070e-01,-9.284594655036926270e-01,-9.205325841903686523e-01
-3.797979797979797567e+00,-9.204522899802844993e-01,-8.453397969574052428e-01,-9.198226928710937500e-01,-9.236496090888977051e-01,-9.156690835952758789e-01
-3.636363636363635798e+00,-9.149967682046711293e-01,-8.356527043724281123e-01,-9.149686098098754883e-01,-9.183980226516723633e-01,-9.105460047721862793e-01
-3.474747474747474030e+00,-9.092040042901409214e-01,-8.254841236957941586e-01,-9.095476269721984863e-01,-9.130765795707702637e-01,-9.048156738281250000e-01
-3.313131313131313149e+00,-9.030583017413273961e-01,-8.148258033945940948e-01,-9.040503501892089844e-01,-9.072724580764770508e-01,-8.988957405090332031e-01
-3.151515151515151381e+00,-8.965439491834159558e-01,-8.036713572481528622e-01,-8.981806635856628418e-01,-9.012770652770996094e-01,-8.927735090255737305e-01
-2.989898989898989612e+00,-8.896453350530681981e-01,-7.920165003550455607e-01,-8.919079899787902832e-01,-8.946852684020996094e-01,-8.863506317138671875e-01
-2.828282828282827843e+00,-8.823470772627859393e-01,-7.798592830578847668e-01,-8.852705955505371094e-01,-8.876679539680480957e-01,-8.790023922920227051e-01
-2.666666666666666075e+00,-8.746341681934592938e-01,-7.672003179666810890e-01,-8.780516386032104492e-01,-8.804319500923156738e-01,-8.713814020156860352e-01
-2.505050505050504306e+00,-8.664921351002179417e-01,-7.540429947363451735e-01,-8.705321550369262695e-01,-8.726779222488403320e-01,-8.631383776664733887e-01
-2.343434343434342537e+00,-8.579072156877685096e-01,-7.403936768263957857e-01,-8.626416325569152832e-01,-8.646265864372253418e-01,-8.547687530517578125e-01
-2.181818181818181657e+00,-8.488665482212744973e-01,-7.262618741771968978e-01,-8.540512323379516602e-01,-8.558641672134399414e-01,-8.453814387321472168e-01
