x, true, terminal, branch
-1.933673164656844579e+00,9.900000027771036493e-01,9.775543585113233291e-01,9.913851618766784668e-01
-1.914845325148010868e+00,9.856992176659328253e-01,9.720873937674883170e-01,9.867519140243530273e-01
-1.896017485639177380e+00,9.809218686896848949e-01,9.662486971415472636e-01,9.817508459091186523e-01
-1.877189646130343670e+00,9.757155872229864579e-01,9.600648043371347029e-01,9.761565923690795898e-01
-1.858361806621510182e+00,9.701173174466197757e-01,9.535582246681707508e-01,9.708454012870788574e-01
-1.839533967112676471e+00,9.641569844075371654e-01,9.467484914577716237e-01,9.649478793144226074e-01
-1.820706127603842983e+00,9.578595991667673282e-01,9.396528122717746623e-01,9.586240649223327637e-01
-1.801878288095009273e+00,9.512465456281608001e-01,9.322865649655657228e-01,9.523638486862182617e-01
-1.783050448586175563e+00,9.443365026346264290e-01,9.246636505589056476e-01,9.457759857177734375e-01
-1.764222609077342074e+00,9.371459978560493509e-01,9.167967384022720490e-01,9.386522173881530762e-01
-1.745394769568508364e+00,9.296898618324095365e-01,9.086975062923223767e-01,9.311248660087585449e-01
-1.726566930059674876e+00,9.219815436660204755e-01,9.003767648988457717e-01,9.236490130424499512e-01
-1.707739090550841166e+00,9.140333657759214248e-01,8.918445928638024656e-01,9.160362482070922852e-01
-1.688911251042007677e+00,9.058566678326391841e-01,8.831104585396465367e-01,9.077458381652832031e-01
-1.670083411533173967e+00,8.974620186343834627e-01,8.741832763597627842e-01,8.998023867607116699e-01
-1.651255572024340257e+00,8.888592606014854569e-01,8.650715020317319981e-01,8.912193179130554199e-01
-1.632427732515506769e+00,8.800576682342043933e-01,8.557831549949931338e-01,8.826507329940795898e-01
-1.613599893006673058e+00,8.710659891253761389e-01,8.463259074674417404e-01,8.735172152519226074e-01
-1.594772053497839348e+00,8.618925222479860704e-01,8.367070953609694328e-01,8.645720481872558594e-01
-1.575944213989005860e+00,8.525451647828964363e-01,8.269337658538888913e-01,8.552889823913574219e-01
-1.557116374480172372e+00,8.430314682927553260e-01,8.170127066543221295e-01,8.455546498298645020e-01
-1.538288534971338661e+00,8.333586650443909338e-01,8.069504737179811205e-01,8.360204696655273438e-01
-1.519460695462504951e+00,8.235337096945231083e-01,7.967534090064238850e-01,8.262795209884643555e-01
-1.500632855953671463e+00,8.135633068116225886e-01,7.864276658790244623e-01,8.163622021675109863e-01
-1.481805016444837753e+00,8.034539379282299443e-01,7.759792249343316906e-01,8.060661554336547852e-01
-1.462977176936004042e+00,7.932118762368418619e-01,7.654139100937609186e-01,7.959607839584350586e-01
