x, true, terminal, branch, dgm
-5.000000000000000000e+00,4.211104057944769465e+02,5.751127206880941003e+02,4.077083435058593750e+02,4.500639038085937500e+02
-4.898989898989898784e+00,3.881787149948620481e+02,5.324503734944082680e+02,3.812113647460937500e+02,4.210498962402343750e+02
-4.797979797979797567e+00,3.574344078614852833e+02,4.924111849188053043e+02,3.412901000976562500e+02,3.926520385742187500e+02
-4.696969696969697239e+00,3.287736363677453824e+02,4.548814130772234421e+02,3.419735717773437500e+02,3.651022338867187500e+02
-4.595959595959596022e+00,3.020950509358936529e+02,4.197498145344537761e+02,3.096428222656250000e+02,3.395415039062500000e+02
-4.494949494949494806e+00,2.772998004370359695e+02,3.869076443041413995e+02,2.810850524902343750e+02,3.141775512695312500e+02
-4.393939393939393590e+00,2.542915321911315232e+02,3.562486558487852903e+02,2.695450439453125000e+02,2.899267272949218750e+02
-4.292929292929293261e+00,2.329763919669932193e+02,3.276691010797380841e+02,2.494617156982421875e+02,2.671171264648437500e+02
-4.191919191919192045e+00,2.132630239822873079e+02,3.010677303572053916e+02,2.203505096435546875e+02,2.456241912841796875e+02
-4.090909090909090828e+00,1.950625709035340378e+02,2.763457924902469358e+02,1.959256286621093750e+02,2.257755584716796875e+02
-3.989898989898989612e+00,1.782886738461072582e+02,2.534070347367762963e+02,1.789949188232421875e+02,2.075854034423828125e+02
-3.888888888888888840e+00,1.628574723742343906e+02,2.321577028035604826e+02,1.674083404541015625e+02,1.905135803222656250e+02
-3.787878787878788067e+00,1.486876045009964855e+02,2.125065408462199912e+02,1.564497833251953125e+02,1.747355957031250000e+02
-3.686868686868686851e+00,1.357002066883281088e+02,1.943647914692290612e+02,1.363539581298828125e+02,1.605523681640625000e+02
-3.585858585858585634e+00,1.238189138470177539e+02,1.776461957259156748e+02,1.241891250610351562e+02,1.472964782714843750e+02
-3.484848484848484862e+00,1.129698593367074722e+02,1.622669931184614711e+02,1.138917999267578125e+02,1.351296081542968750e+02
-3.383838383838384090e+00,1.030816749658928160e+02,1.481459215979016335e+02,1.043719253540039062e+02,1.243258285522460938e+02
-3.282828282828282873e+00,9.408549099192303800e+01,1.352042175641248889e+02,9.507225036621093750e+01,1.142476654052734375e+02
-3.181818181818181657e+00,8.591493612100116195e+01,1.233656158658738207e+02,8.631737518310546875e+01,1.051451263427734375e+02
-3.080808080808080884e+00,7.850613750818374115e+01,1.125563498007446839e+02,7.825706481933593750e+01,9.684462738037109375e+01
-2.979797979797979668e+00,7.179772075738097215e+01,1.027051511151870926e+02,7.111718750000000000e+01,8.945230102539062500e+01
-2.878787878787878896e+00,6.573080992135676581e+01,9.374325000450461687e+01,6.470002746582031250e+01,8.262203979492187500e+01
-2.777777777777777679e+00,6.024902750172856969e+01,8.560437511285427092e+01,5.909101104736328125e+01,7.641824340820312500e+01
-2.676767676767676907e+00,5.529849444896759536e+01,7.822475353324678338e+01,5.435240936279296875e+01,7.090544128417968750e+01
-2.575757575757575690e+00,5.082783016239860530e+01,7.154311080754651186e+01,5.006025695800781250e+01,6.574062347412109375e+01
