x, true, terminal, branch, dgm
-3.000000000000000000e+00,-9.422223406686580649e-01,-9.899924966004454152e-01,-9.618425369262695312e-01,-1.478555649518966675e-01
-2.939393939393939448e+00,-9.202025486934006793e-01,-9.796273921267035778e-01,-9.416164159774780273e-01,-1.465972959995269775e-01
-2.878787878787878896e+00,-8.948038001809127673e-01,-9.656651248485589312e-01,-9.170312881469726562e-01,-1.450166255235671997e-01
-2.818181818181818343e+00,-8.661193585843827147e-01,-9.481569637984230692e-01,-8.891084790229797363e-01,-1.435569524765014648e-01
-2.757575757575757791e+00,-8.342545523248053874e-01,-9.271671984257428001e-01,-8.565056920051574707e-01,-1.422172486782073975e-01
-2.696969696969696795e+00,-7.993263880281361589e-01,-9.027729025280442077e-01,-8.209768533706665039e-01,-1.410879343748092651e-01
-2.636363636363636243e+00,-7.614631208804226725e-01,-8.750636512382280463e-01,-7.818380594253540039e-01,-1.401432007551193237e-01
-2.575757575757575690e+00,-7.208037836785541330e-01,-8.441411921073311841e-01,-7.389009594917297363e-01,-1.389158517122268677e-01
-2.515151515151515138e+00,-6.774976763059450402e-01,-8.101190714905293078e-01,-6.932997107505798340e-01,-1.378985941410064697e-01
-2.454545454545454586e+00,-6.317038175077799300e-01,-7.731222176082798159e-01,-6.453390121459960938e-01,-1.371471136808395386e-01
-2.393939393939394034e+00,-5.835903609788846147e-01,-7.332864818135917950e-01,-5.948213338851928711e-01,-1.361011564731597900e-01
-2.333333333333333037e+00,-5.333339779083332566e-01,-6.907581397498760989e-01,-5.422561764717102051e-01,-1.355850696563720703e-01
-2.272727272727272485e+00,-4.811192082480697518e-01,-6.456933542311115160e-01,-4.882691502571105957e-01,-1.346970200538635254e-01
-2.212121212121211933e+00,-4.271377830876609272e-01,-5.982576018166093634e-01,-4.339199066162109375e-01,-1.341409981250762939e-01
-2.151515151515151381e+00,-3.715879206234092846e-01,-5.486250651859839733e-01,-3.778568804264068604e-01,-1.337710022926330566e-01
-2.090909090909090828e+00,-3.146735983069986475e-01,-4.969779935455057585e-01,-3.208861649036407471e-01,-1.331931650638580322e-01
-2.030303030303030276e+00,-2.566038038463269721e-01,-4.435060334144070304e-01,-2.634392976760864258e-01,-1.328320503234863281e-01
-1.969696969696969724e+00,-1.975917678088243423e-01,-3.884055322484735728e-01,-2.039249241352081299e-01,-1.325160264968872070e-01
-1.909090909090909172e+00,-1.378541806451174245e-01,-3.318788174579952455e-01,-1.434252262115478516e-01,-1.322626173496246338e-01
