x, true, terminal, branch
-8.000000000000000000e+00,-9.998415637808975021e-01,-9.996646498695335170e-01,-9.992850422859191895e-01
-7.838383838383838231e+00,-9.998137778194258196e-01,-9.996058496279203176e-01,-9.992962479591369629e-01
-7.676767676767676463e+00,-9.997811199249833081e-01,-9.995367441385377694e-01,-9.993236660957336426e-01
-7.515151515151515582e+00,-9.997427362698743103e-01,-9.994555291401514552e-01,-9.993627667427062988e-01
-7.353535353535353813e+00,-9.996976235445693693e-01,-9.993600851729462775e-01,-9.994084835052490234e-01
-7.191919191919192045e+00,-9.996446028467416145e-01,-9.992479227792296914e-01,-9.994547367095947266e-01
-7.030303030303030276e+00,-9.995822890319209231e-01,-9.991161182779627614e-01,-9.994949698448181152e-01
-6.868686868686868507e+00,-9.995090547455711683e-01,-9.989612385303172637e-01,-9.995220303535461426e-01
-6.707070707070706739e+00,-9.994229882255741826e-01,-9.987792528625387689e-01,-9.995285272598266602e-01
-6.545454545454544970e+00,-9.993218438126250103e-01,-9.985654300274930950e-01,-9.995070099830627441e-01
-6.383838383838384090e+00,-9.992029839311379336e-01,-9.983142177652075677e-01,-9.994489550590515137e-01
-6.222222222222222321e+00,-9.990633111020194024e-01,-9.980191021642020877e-01,-9.993461966514587402e-01
-6.060606060606060552e+00,-9.988991883180733389e-01,-9.976724436299043708e-01,-9.991908669471740723e-01
-5.898989898989898784e+00,-9.987063458499756408e-01,-9.972652858368884488e-01,-9.989743828773498535e-01
-5.737373737373737015e+00,-9.984797722530670550e-01,-9.967871335850146952e-01,-9.986888766288757324e-01
-5.575757575757576134e+00,-9.982135870107651243e-01,-9.962256950083800966e-01,-9.983265995979309082e-01
-5.414141414141413478e+00,-9.979008918784280091e-01,-9.955665831211925054e-01,-9.978795647621154785e-01
-5.252525252525252597e+00,-9.975335975832487767e-01,-9.947929712587566531e-01,-9.973403811454772949e-01
-5.090909090909090828e+00,-9.971022220954177673e-01,-9.938851966332653554e-01,-9.967010021209716797e-01
-4.929292929292929060e+00,-9.965956562220883441e-01,-9.928203060435938365e-01,-9.959548115730285645e-01
-4.767676767676767291e+00,-9.960008918038791847e-01,-9.915715378558265236e-01,-9.950932264328002930e-01
-4.606060606060605522e+00,-9.953027073383523549e-01,-9.901077348456941429e-01,-9.941077828407287598e-01
-4.444444444444444642e+00,-9.944833054537964845e-01,-9.883926835546954504e-01,-9.929892420768737793e-01
-4.282828282828281985e+00,-9.935218963654577351e-01,-9.863843777109893018e-01,-9.917261004447937012e-01
-4.121212121212121104e+00,-9.923942213452703331e-01,-9.840342063345109969e-01,-9.903051853179931641e-01
-3.959595959595959336e+00,-9.910720104379610040e-01,-9.812860718046186870e-01,-9.887111783027648926e-01
-3.797979797979797567e+00,-9.895223693167103374e-01,-9.780754499402495306e-01,-9.869231581687927246e-01
-3.636363636363635798e+00,-9.877070915007377661e-01,-9.743284136501729753e-01,-9.849155545234680176e-01
-3.474747474747474030e+00,-9.855818944341115939e-01,-9.699606546598432688e-01,-9.826546311378479004e-01
-3.313131313131313149e+00,-9.830955815114004182e-01,-9.648765549480192716e-01,-9.800965189933776855e-01
-3.151515151515151381e+00,-9.801891374884015296e-01,-9.589683814952453256e-01,-9.771814942359924316e-01
-2.989898989898989612e+00,-9.767947723944170324e-01,-9.521157051695643414e-01,-9.738289713859558105e-01
-2.828282828282827843e+00,-9.728349397225322104e-01,-9.441851769246105697e-01,-9.699323773384094238e-01
-2.666666666666666075e+00,-9.682213690407697193e-01,-9.350308308713358718e-01,-9.653487801551818848e-01
-2.505050505050504306e+00,-9.628541719657063291e-01,-9.244951215841266112e-01,-9.598983526229858398e-01
-2.343434343434342537e+00,-9.566211042706767032e-01,-9.124109373658961797e-01,-9.533637762069702148e-01
-2.181818181818181657e+00,-9.493970960206847831e-01,-8.986048543325192428e-01,-9.455137848854064941e-01
-2.020202020202019888e+00,-9.410441956182433731e-01,-8.829018968282589253e-01,-9.361547827720642090e-01
-1.858585858585858119e+00,-9.314121109407346166e-01,-8.651320331909122530e-01,-9.252198338508605957e-01
-1.696969696969696351e+00,-9.203395680117469890e-01,-8.451385453887021448e-01,-9.128893017768859863e-01
