x, true, terminal, branch, dgm, bsde
-8.000000000000000000e+00,-9.869741597708527880e-01,-9.728197647383156621e-01,-9.825605154037475586e-01,-9.910269975662231445e-01,-9.872193336486816406e-01
-7.838383838383838231e+00,-9.860114912407043075e-01,-9.708419264208434374e-01,-9.814774394035339355e-01,-9.901264905929565430e-01,-9.861310720443725586e-01
-7.676767676767676463e+00,-9.849787599493532442e-01,-9.687247926782828200e-01,-9.803619384765625000e-01,-9.891495704650878906e-01,-9.849125146865844727e-01
-7.515151515151515582e+00,-9.838710322590609181e-01,-9.664592471475667024e-01,-9.792057871818542480e-01,-9.880918264389038086e-01,-9.835661649703979492e-01
-7.353535353535353813e+00,-9.826830523636364001e-01,-9.640356805057263001e-01,-9.780008792877197266e-01,-9.869481325149536133e-01,-9.820955991744995117e-01
-7.191919191919192045e+00,-9.814092251251486099e-01,-9.614439795851921211e-01,-9.767378568649291992e-01,-9.857134819030761719e-01,-9.805046319961547852e-01
-7.030303030303030276e+00,-9.800435986125473065e-01,-9.586735189464976603e-01,-9.754072427749633789e-01,-9.843821525573730469e-01,-9.787973165512084961e-01
-6.868686868686868507e+00,-9.785798464512818207e-01,-9.557131554362769954e-01,-9.739990234375000000e-01,-9.829484224319458008e-01,-9.769774079322814941e-01
-6.707070707070706739e+00,-9.770112501166754448e-01,-9.525512263185327289e-01,-9.725026488304138184e-01,-9.814063310623168945e-01,-9.750490188598632812e-01
-6.545454545454544970e+00,-9.753306813306101830e-01,-9.491755516289956951e-01,-9.709064960479736328e-01,-9.797488451004028320e-01,-9.730163216590881348e-01
-6.383838383838384090e+00,-9.735305847512398802e-01,-9.455734414648827579e-01,-9.691997766494750977e-01,-9.779691696166992188e-01,-9.708833098411560059e-01
-6.222222222222222321e+00,-9.716029611791792142e-01,-9.417317089839404298e-01,-9.673708081245422363e-01,-9.760595560073852539e-01,-9.686533212661743164e-01
-6.060606060606060552e+00,-9.695393515410932750e-01,-9.376366899454486870e-01,-9.654074907302856445e-01,-9.740123748779296875e-01,-9.663296341896057129e-01
-5.898989898989898784e+00,-9.673308219529669350e-01,-9.332742696794877890e-01,-9.632974863052368164e-01,-9.718188047409057617e-01,-9.639132618904113770e-01
-5.737373737373737015e+00,-9.649679502106144335e-01,-9.286299184163674392e-01,-9.610281586647033691e-01,-9.694701433181762695e-01,-9.614047408103942871e-01
-5.575757575757576134e+00,-9.624408141041522757e-01,-9.236887359423019417e-01,-9.585877060890197754e-01,-9.669567346572875977e-01,-9.588016271591186523e-01
-5.414141414141413478e+00,-9.597389820060517884e-01,-9.184355065662489492e-01,-9.559630155563354492e-01,-9.642682075500488281e-01,-9.560994505882263184e-01
-5.252525252525252597e+00,-9.568515062386739878e-01,-9.128547653818133156e-01,-9.531422257423400879e-01,-9.613938331604003906e-01,-9.532908797264099121e-01
-5.090909090909090828e+00,-9.537669197863634096e-01,-9.069308767822752415e-01,-9.501135349273681641e-01,-9.583225250244140625e-01,-9.503627419471740723e-01
-4.929292929292929060e+00,-9.504732369784818502e-01,-9.006481261306926722e-01,-9.468645453453063965e-01,-9.550421237945556641e-01,-9.472979903221130371e-01
-4.767676767676767291e+00,-9.469579588321618280e-01,-8.939908253949176986e-01,-9.433845877647399902e-01,-9.515396356582641602e-01,-9.440738558769226074e-01
-4.606060606060605522e+00,-9.432080838056788874e-01,-8.869434334234029826e-01,-9.396623969078063965e-01,-9.478020668029785156e-01,-9.406612515449523926e-01
-4.444444444444444642e+00,-9.392101247734436775e-01,-8.794906913561219008e-01,-9.356876015663146973e-01,-9.438152313232421875e-01,-9.370237588882446289e-01
-4.282828282828281985e+00,-9.349501330894834927e-01,-8.716177734305271541e-01,-9.314518570899963379e-01,-9.395649433135986328e-01,-9.331172108650207520e-01
-4.121212121212121104e+00,-9.304137306552814346e-01,-8.633104531508515311e-01,-9.269465208053588867e-01,-9.350357055664062500e-01,-9.288927912712097168e-01
-3.959595959595959336e+00,-9.255861509467568915e-01,-8.545552844371662182e-01,-9.221641421318054199e-01,-9.302121400833129883e-01,-9.242955446243286133e-01
-3.797979797979797567e+00,-9.204522899802844993e-01,-8.453397969574052428e-01,-9.170986413955688477e-01,-9.250777959823608398e-01,-9.192687869071960449e-01
-3.636363636363635798e+00,-9.149967682046711293e-01,-8.356527043724281123e-01,-9.117445349693298340e-01,-9.196166992187500000e-01,-9.137578010559082031e-01
